的,dyiex,5/|.的..
乙,yreiv,3~.已乙..
妨,fvwangz,2~/.妨..
贪,twhan,1/\.贪..貪
挣,zeihengs,4-|.正政挣..
汪,whhang,1\\.汪..
尿,nreiaos,4~-.尿..
莉,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
悬,xuvuanz,2|~.悬..蜁
唇,cowhunz,2-/.唇..脣
翰,houans,4-|.翰撼捍.菡.
仓,cwhang,1/\.仓..
轨,govuiv,3-~.轨..
枚,meieiz,2-|.梅枚酶.楣莓.蘪
盐,youanz,2-|.严盐.檐.鹽莚
览,luuanv,3||.览..
傅,fwuus,4/|.付傅阜..
帅,suwhuais,4|/.帅..
庙,mheiaos,4\-.庙..
芬,feien,1-|.芬酚..
屏,preingz,2~-.屏..
寺,seiis,4-|.寺肆..蕼
胖,pwvangs,4/~.胖..
璃,leeiz,2--.璃.嫠.釐
愚,yuvuz,2|~.愚.禺嵛蝓.顒颙
滴,dhhi,1\\.滴..
疏,svuhu,1~|.疏..
萧,xeiiao,1-|.萧.枵.虈
姿,zhei,1\-.资姿咨.粢.資秶諮
颤,chohans,4\-.颤..顫
丑,cvuhouv,3~|.丑..
劣,liyies,4|/.劣..
柯,keie,1-|.柯棵苛..薖軻
寸,couuns,4-|.寸..
扔,reieng,1-|.扔..
盯,diring,1|~.盯叮.町.虰
辱,rowuv,3-/.辱..
匹,peyiv,3-/.匹..
俱,jwuus,4/|.俱.倨.
辨,bheians,4\-.变辩辨辫卞..變辯
饿,eyrs,4/~.饿.鳄腭.
蜂,fireng,1|~.峰蜂..鄷盽豊
哦,ouvz,2|~.哦..
腔,qyriang,1/~.腔..
郁,yowus,4-/.郁..礇
溃,khhuis,4\\.溃愧.愦.
谨,jhrinv,3\~.谨..
糟,zhwao,1\/.糟..
葛,geiez,2-|.格革葛.鬲塥.騔轕
苗,meiiaoz,2-|.描苗.鹋.鶓
肠,cwvhangz,2/~.肠..腸鲿
忌,jreis,4~-.既忌.暨.鵋鱀
溜,lhhiu,1\\.溜..
鸿,hhhongz,2\\.洪宏鸿.泓黉.鴻
爵,jwhuez,2/\.爵..钁
鹏,pyrengz,2/~.朋鹏膨..鵬
鹰,yheing,1\-.应鹰.膺.韺鷹
笼,lwoongz,2/-.笼..籠篭
丘,qyiiu,1/|.丘邱..
桂,gouuis,4-|.桂柜.桧.蓕赽
滋,zhhi,1\\.滋淄..
聊,leiiaoz,2-|.聊..
挡,douangv,3-|.挡..
纲,gvvang,1~~.纲..綱
肌,jyri,1/~.几肌饥..觭
茨,ceiiz,2-|.茨.茈.
壳,keiez,2-|.壳..
痕,hheenz,2\-.痕..
碗,wowanv,3-/.碗..
穴,xhhuez,2\\.学穴.泶.鸴
膀,bwvangv,3/~.膀..
卓,zuohuoz,2|-.卓..
贤,xiiianz,2||.贤..
卧,wouos,4-|.握卧斡..臥
膜,mwvoz,2/~.膜.馍.
毅,yheis,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
锦,jyeinv,3/-.锦..
欠,qyrians,4/~.欠..
哩,liri,1|~.哩..
函,hvuanz,2~|.函..
茫,mouangz,2-|.茫芒..駹
昂,auvngz,2|~.昂..
薛,xouue,1-|.薛靴..
皱,zwvhous,4/~.皱..
夸,kowua,1-/.夸..
豫,yvhus,4~\.预豫.鹬.預遹矞翑
胃,wireis,4|~.味胃喂畏..蝟
舌,syehez,2/-.舌..
剥,bvoao,1~-.剥..
傲,awuos,4/|.奥傲..
拾,seihiz,2-|.十拾.莳埘.辻
窝,whho,1\\.窝..窩
睁,zirheng,1|~.睁.峥.
携,xeiiez,2-|.协鞋携.撷.
陵,lriingz,2~|.陵..
哼,hireng,1|~.哼..
棉,meiianz,2-|.棉..
晴,qiringz,2|~.晴.黥.
铃,lyeingz,2/-.铃..笭秢
填,teiianz,2-|.填..
饲,syris,4/~.饲..
渴,khhev,3\\.渴..
吻,wirenv,3|~.吻..
扮,bouans,4-|.扮拌..
逆,nhyis,4\/.逆..
脆,cwvuis,4/~.脆..膬臎膵脺
喘,cuvhuanv,3|~.喘..
罩,zuvhaos,4|~.照罩..
卜,buhuv,3|\.卜..鳪
炉,lhwuz,2\/.炉..
柴,cuohaiz,2|-.柴..
愉,yhhuz,2\\.渔愉渝.窬.
绳,srrhengz,2~~.绳..繩
胎,twvai,1/~.胎..
蓄,xouus,4-|.蓄酗..藚
眠,mirianz,2|~.眠..矊
竭,jheiez,2\-.竭..詰
喂,wireis,4|~.味胃喂畏..蝟
傻,swuhav,3/|.傻..
慕,mouus,4-|.木幕墓慕募暮.苜.
浑,hhhunz,2\\.浑..
奸,jryian,1~/.奸..
扇,shvhans,4\~.扇.讪.
柜,gouuis,4-|.桂柜.桧.蓕赽
悦,yhhues,4\\.悦.瀹.
拦,louanz,2-|.蓝拦栏婪..蘭葻藍
诞,dhvans,4\~.诞..禫
饱,bwvaov,3/~.饱.鸨.
乾,qeiianz,2-|.乾.荨掮.葴軡
泡,phhaos,4\\.泡..窌
贼,zireiz,2|~.贼..蠈賊
亭,theingz,2\-.庭亭..
夕,xyri,1/~.夕膝..饻
爹,dyhie,1/\.爹..
酬,couhouz,2-|.酬..
儒,rwuuz,2/|.儒..
姻,yryin,1~/.姻..
卵,lwvuanv,3/~.卵..
氛,fyeen,1/-.氛..
泄,xhhies,4\\.泄懈泻.瀣渫.
杆,gouan,1-|.甘杆柑.苷酐坩.
挨,aoui,1-|.埃挨..
僧,syieng,1/|.僧..
蜜,mhhis,4\\.密蜜.宓汨.
吟,yirinz,2|~.吟..蟫訔誾
猩,xyring,1/~.猩腥..
遂,shwuis,4\/.遂.燧.
狭,xyriaz,2/~.狭.狎.
肖,xihiaos,4|\.肖..
甜,tyeianz,2/-.甜..
霞,xehiaz,2-\.霞..
驳,bvvoz,2~~.驳..
裕,yhvus,4\~.裕.谕.
顽,wooanz,2--.玩顽..
於,yhou,1\-..於瘀.
摘,zouhai,1-|.摘..
矮,awoiv,3/-.矮..
秒,myeiaov,3/-.秒..
卿,qyring,1/~.卿.鲭.鯖
畜,xhous,4\-.序畜..訹
咽,yuvans,4|~.咽唁.晏.鷃艶
披,peii,1-|.批披坯..
辅,fovuv,3-~.辅..
勾,gwvou,1/~.勾..
盆,pyhenz,2/\.盆..
疆,jreiang,1~-.疆..
赌,duvuv,3|~.赌睹..
塑,shwus,4\/.塑..遡
畏,wireis,4|~.味胃喂畏..蝟
吵,cuvhaov,3|~.吵..
囊,nouangz,2-|.囊..
嗯,eirngz,2|~..嗯.
泊,bhhoz,2\\.泊渤..
肺,fyreis,4/~.肺.狒.
骤,zvvhous,4~~.骤.纣绉.紂
缠,cvvhanz,2~~.缠..繟纒纏
冈,guvang,1|~.刚冈.罡.
羞,xhyiu,1\/.羞..
瞪,direngs,4|~.瞪.嶝.
吊,diriaos,4|~.吊..
贾,gouuv,3-|.古鼓贾.嘏瞽.盬糓
漏,lhhous,4\\.漏..
斑,booan,1--.班斑..
涛,thhao,1\\.涛滔..
悠,ywuou,1/|.优悠.攸.
鹿,lhous,4\-.鹿..
俘,fwuuz,2/|.伏俘..
锡,xyei,1/-.稀牺锡..
卑,byiei,1/|.卑.鹎.
葬,zouangs,4-|.葬..
铭,myeingz,2/-.铭..
滩,thhan,1\\.滩..
嫁,jryias,4~/.架驾嫁..駕
催,cwuui,1/|.催..
璇,xoouanz,2--..璇.
翅,ceihis,4-|.赤翅.敕踅.趩鶒鷘
盒,hyhez,2/\.合盒.颌.龢頜
蛮,mhoanz,2\-.蛮..蠻
矣,yrhiv,3~\.以矣..
潘,phhan,1\\.潘..
歧,qieiz,2|-.歧..
赐,ciris,4|~.赐..賜
鲍,bwvaos,4/~.鲍刨..
锅,gwouo,1/-.锅..
廊,lhoangz,2\-.廊..
拆,couhai,1-|.拆..
灌,ghhuans,4\\.惯灌.涫.
勉,myrianv,3/~.免勉.腼.
盲,mhoangz,2\-.盲氓.邙.龒
宰,zhhaiv,3\\.宰..
佐,zwuuov,3/|.佐..
啥,suvhaz,2|~.啥..
胀,zwvhangs,4/~.胀..脹
扯,ceihev,3-|.扯..
禧,xhriv,3\~..禧.
辽,lriiaoz,2~|.辽..
抹,moua,1-|.抹..
筒,twoongv,3/-.筒..
棋,qeiiz,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
裤,khvus,4\~.裤..袴褲
唉,auvis,4|~.唉.暧嗌.賹
朴,pouuv,3-|.朴埔..
咐,fuvus,4|~.赋咐.蝮赙.賦
孕,yvwuns,4~/.孕..
誓,seihis,4-|.事世士势誓逝拭柿.螫贳.
喉,huvouz,2|~.喉.骺.睺
妄,whoangs,4\-.望忘妄..
拘,jouu,1-|.拘鞠.掬趄鞫苴椐.
链,lyeians,4/-.链..稴
驰,crrhiz,2~~.驰..
栏,louanz,2-|.蓝拦栏婪..蘭葻藍
逝,seihis,4-|.事世士势誓逝拭柿.螫贳.
窃,qhhies,4\\.窃怯.惬.
艳,yooans,4--.艳..
臭,cwuhous,4/|.臭..
纤,xrrian,1~~.纤..纖縿
玑,jeei,1--.击.玑.
棵,keie,1-|.柯棵苛..薖軻
趁,ceihens,4-|.趁.榇.
匠,jeyiangs,4-/.匠..
盈,yryingz,2~/.盈..
翁,wyheng,1/\.翁..鹟鶲
愁,cwohouz,2/-.筹愁稠..籌
瞬,suvhuns,4|~.瞬..
婴,yiring,1|~.婴.鹦嘤罂.譻
孝,xeiiaos,4-|.校孝..
颈,jrhingv,3~\.颈.刭.
倘,twuangv,3/|.躺倘.傥.
浙,zhhhes,4\\.浙..
谅,lhriangs,4\~.谅..
蔽,beiis,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
畅,cuvhangs,4|~.唱畅..
赠,zirengs,4|~.赠..贈
妮,nryi,1~/.妮..
莎,souha,1-|.莎..蔱
尉,wreeis,4~-.慰尉..
冻,dhoongs,4\-.冻..詷
跪,guvuis,4|~.贵跪.炅刿.貴瞆趹
闯,chuhuangv,3\|.闯..
葡,pouuz,2-|.葡菩蒲莆..酺
後,hwwous,4//.后.後逅.郈
厨,cowhuz,2-/.厨..豠
鸭,yuva,1|~.鸭..鴨
颠,deiian,1-|.颠掂..顛
遮,zhehe,1\-.遮..
谊,yhris,4\~.议译谊诣..袣褹
圳,zeihens,4-|.振.圳.
吁,yuvus,4|~.遇吁喻峪.昱蜮.閾
仑,lwhunz,2/\.仑..
辟,breis,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
瘤,lheiuz,2\-.刘瘤.旒.
嫂,svwaov,3~/.嫂..
陀,tvuuoz,2~|.陀..陁迆
框,kouuangs,4-|.框.圹.
谭,thvanz,2\~.谈谭..
亨,hheeng,1\-.亨..
钦,qyein,1/-.钦..
庸,yhoong,1\-.庸雍痈.饔壅.鄘
歉,qhyians,4\/.歉..
芝,zeihi,1-|.支枝芝.栀.鳷
吼,huvouv,3|~.吼..
甫,fouuv,3-|.抚甫.拊.輔郙
衫,shvhan,1\~.衫..
摊,touan,1-|.摊坍..
宴,yhhans,4\\.宴.滟.
嘱,zuvhuv,3|~.嘱瞩..矚
衷,zhohong,1\-.衷..螤
娇,jryiao,1~/.娇.姣.
陕,svuhanv,3~|.陕..陝
矩,jwouv,3/-.矩.榘.筥
浦,phhuv,3\\.浦.溥.
讶,yhvas,4\~.讶..
耸,swhongv,3/\.耸怂..
裸,lhvuov,3\~.裸..
碧,beeis,4--.碧..
摧,couui,1-|.摧.榱.
薪,xeiin,1-|.薪芯.馨.
淋,lhhinz,2\\.淋..
耻,ceihiv,3-|.耻.豉.
胶,jyriao,1/~.胶.鲛.膠膲
屠,tvouz,2~-.屠..鷵
鹅,eyez,2/-.鹅.锇.鵝
饥,jyri,1/~.几肌饥..觭
盼,puvans,4|~.盼畔..眫
脖,bwvoz,2/~.脖膊..
虹,huvongz,2|~.虹..
翠,cvhuis,4~\.翠..翆
崩,bireng,1|~.崩.嘣.
账,zuvhangs,4|~.帐账.嶂幛.瞕
萍,peiingz,2-|.萍苹坪.枰.聠蓱
逢,fyrengz,2/~.逢..
赚,zuvhuans,4|~.赚.啭.
撑,ceiheng,1-|.撑.柽.赪頳
翔,xhyiangz,2\/.翔..
倡,cwuhangs,4/|.倡..
绵,mrrianz,2~~.绵..綿
猴,hwvouz,2/~.猴..腄
枯,kouu,1-|.枯.堀.
巫,wouu,1-|.巫.圬.
昭,zuvhao,1|~.昭..鼂
怔,zhhheng,1\\.怔..
渊,yhhuan,1\\.渊..鹓
凑,choous,4\-.凑..
溪,xhhi,1\\.惜溪汐.淅浠穸.窸鸂
蠢,coohunv,3--.蠢..
禅,chvhanz,2\~.谗.禅.禪
阐,chuhanv,3\|.阐..
旺,wuvangs,4|~.旺..盳
寓,yhhus,4\\.誉寓浴..鴪鴧
藤,teiengz,2-|.藤..
匪,feieiv,3-|.菲匪.榧.蕜
伞,swhanv,3/\.伞..
碑,beyei,1-/.碑..
挪,nouuoz,2-|.挪..
琼,qeeiongz,2--.琼..
脂,zyrhi,1/~.脂肢.胝.鴲胑
谎,hhvuangv,3\~.谎..
慨,khhaiv,3\\.慨.恺.
菩,pouuz,2-|.葡菩蒲莆..酺
萄,touaoz,2-|.桃萄..醄駣騊
狮,syrhi,1/~.狮..鰤魳
掘,jouuez,2-|.掘抉攫.蕨橛桷.蕝芵
抄,couhao,1-|.超抄..
岭,liringv,3|~.岭..
晕,yuvun,1|~.晕..
逮,dvoais,4~-.逮..
砍,kowanv,3-/.砍..
掏,touao,1-|.掏..
狄,dyriz,2/~.狄..
晰,xiri,1|~.吸晰嘻.螅曦蟋蜥唏.睎
罕,hhvanv,3\~.罕..
挽,wouanv,3-|.挽.菀.輓
脾,pyriz,2/~.脾..腗
舟,zwwhou,1//.舟..
痴,chehi,1\-.痴..
蔡,couais,4-|.菜蔡..
剪,jhyianv,3\/.剪.翦.
脊,jheiz,2\-.疾脊.瘠.鹡鶺
弓,gvoong,1~-.弓..
懒,lhhanv,3\\.懒.漤.
叉,cvhha,1~\.叉..
拐,gouuaiv,3-|.拐..
喃,nuvanz,2|~.男.喃.
僚,lyiiaoz,2/|.僚..
捐,jouuan,1-|.捐..
姊,zryiv,3~/..姊.
骚,svvao,1~~.骚.缫.
拓,touas,4-|.拓挞.榻.
歪,wowai,1-/.歪..
粘,zhwhan,1\/.粘..
柄,beiingv,3-|.柄丙.邴.
坑,keieng,1-|.坑..
陌,mvuos,4~|.陌..
窄,zhhhaiv,3\\.窄..
湘,xhhiang,1\\.湘..
兆,zwhhaos,4/\.兆..
崖,yuvaz,2|~.崖蚜.睚岈.
骄,jrriao,1~~.骄..
刹,swhha,1/\.杀刹..閷
鞭,beiian,1-|.鞭..
芒,mouangz,2-|.茫芒..駹
筋,jyein,1/-.筋.钅.
聘,peiins,4-|.聘..
钩,gwoou,1/-.钩.篝.簼
棍,gouuns,4-|.棍..
嚷,ruvangv,3|~.嚷..
腺,xyrians,4/~.腺馅..
弦,xreianz,2~-.弦..
焰,yhwans,4\/.焰.焱.
耍,sowhuav,3-/.耍..
俯,fwuuv,3/|.俯..
厘,leyiz,2-/.厘..
愣,lhhengs,4\\..愣.
厦,sowhas,4-/.厦..
恳,kreenv,3~-.恳垦..
饶,rwvaoz,2/~.饶..
钉,dyeing,1/-.钉..
寡,ghhuav,3\\.寡..
憾,hhhans,4\\.汉汗憾悍.瀚.
摔,souhuai,1-|.摔..
叠,drhiez,2~\.叠..
惹,reiev,3-|.惹..
喻,yuvus,4|~.遇吁喻峪.昱蜮.閾
谱,phvuv,3\~.谱..
愧,khhuis,4\\.溃愧.愦.
煌,hhwuangz,2\/.煌..
徽,hwwui,1//.徽..
溶,rhhongz,2\\.容溶..
坠,zvuhuis,4~|.坠..
煞,swvhas,4/~.煞..
巾,jirin,1|~.巾..
滥,lhhans,4\\.滥..
洒,shhav,3\\.洒..
堵,douuv,3-|.堵..覩
瓷,cheiz,2\-.瓷..詞餈
咒,zuvhous,4|~.咒.胄.
姨,yryiz,2~/.姨..
棒,bouangs,4-|.棒.蒡.
郡,jvouns,4~-.郡..
浴,yhhus,4\\.誉寓浴..鴪鴧
媚,mryeis,4~/.妹媚..
稣,swvu,1/~..稣.鯂
淮,hhhuaiz,2\\.怀淮..
哎,auvi,1|~.哎..
屁,preis,4~-.屁譬.甓.鷿
漆,qhhi,1\\.漆沏柒..
淫,yhhinz,2\\.淫寅..
巢,cvvhaoz,2~~.巢..鄛
吩,firen,1|~.吩..
撰,zouhuans,4-|.撰..蒃
啸,xiriaos,4|~.啸..
滞,zhhhis,4\\.治滞窒.忮.
玫,meeeiz,2--.玫..
硕,sowhuos,4-/.硕..碩
钓,dyeiaos,4/-.钓.铫铞.
蝶,diriez,2|~.蝶.喋蹀.蜨眣
膝,xyri,1/~.夕膝..饻
姚,yvwaoz,2~/.姚..
茂,mouaos,4-|.茂.懋耄.鄚芼
躯,qwuu,1/|.躯..軀
吏,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
猿,ywvuanz,2/~.猿..
寨,zhhhais,4\\.寨..
恕,svwhus,4~/.恕..
渠,qhhuz,2\\.渠..
戚,qeyi,1-/.戚..碕
辰,ceyhenz,2-/.辰..
舶,bwwoz,2//.舶..艊
颁,bwhan,1/\.颁..頒
惶,hhhuangz,2\\.惶.潢湟.
狐,hwvuz,2/~.狐.斛猢.魱
讽,fhrengv,3\~.讽..
笨,byeens,4/-.笨..
袍,phvaoz,2\~.袍..
嘲,cuvhaoz,2|~.嘲.晁.
啡,firei,1|~.啡..
泼,phho,1\\.泼..
衔,xyyianz,2//.衔舷..銜
倦,jwuuans,4/|.倦..
涵,hhhanz,2\\.寒涵..
雀,quwues,4|/.雀..
旬,xwvunz,2/~.旬.鲟郇.
僵,jyiiang,1/|.僵..
撕,seii,1-|.斯撕..
肢,zyrhi,1/~.脂肢.胝.鴲胑
垄,lowongv,3-/.垄..
夷,yeriz,2-~.夷..鴺
逸,yyris,4/~.逸臆肄..鮨
茅,mouaoz,2-|.茅.髦茆.髳鶜
侨,qyiiaoz,2/|.侨..
舆,ywuuz,2/|.舆.臾舁.輿
窑,yhhaoz,2\\.窑..窯
涅,nhhies,4\\.涅..
蒲,pouuz,2-|.葡菩蒲莆..酺
谦,qhrian,1\~.谦..
杭,houangz,2-|.杭..
噢,ouv,1|~..噢喔.
弊,bhyis,4\/.弊敝..鷩
勋,xuvun,1|~.勋.曛.矄
刮,gwoua,1/-.刮.鸹.鴰
郊,jheiao,1\-.交郊..
凄,qhei,1\-.凄..諆
捧,peiengv,3-|.捧..
浸,jhhins,4\\.浸..
砖,zowhuan,1-/.砖..磚
鼎,diringv,3|~.鼎..
篮,lwoanz,2/-.篮.镧.籣
蒸,zeiheng,1-|.蒸..
饼,byringv,3/~.饼..
亩,mhouv,3\-.亩..
肾,siihens,4||.肾..
陡,dvuouv,3~|.陡..
爪,zwwhaov,3//.爪..
兔,twvus,4/~.兔..
殷,yyyin,1//.殷..
贞,ziehen,1|-.贞..貞
荐,jeiians,4-|.荐槛.楗.薦鍳趝
哑,yuvav,3|~.哑..
炭,tuvans,4|~.叹炭..
坟,feienz,2-|.坟焚.棼.鼖
眨,zuvhav,3|~.眨..
搏,bouoz,2-|.博勃搏.鹁.茀駮豰
咳,huvai,1|~.咳.嗨.
拢,louongv,3-|.拢.垅.
舅,jyiius,4/|.舅臼.僦.
昧,mireis,4|~.昧..眊跊
擅,souhans,4-|.擅..
爽,sowhuangv,3-/.爽..
咖,kuva,1|~.咖喀.咔.
搁,geie,1-|.哥歌搁.圪.
禄,lhvus,4\~.禄..祿
雌,cieiz,2|-.雌..鴜飺
哨,suvhaos,4|~.哨..
巩,gouongv,3-|.巩拱汞..鞏
绢,jvvuans,4~~.绢..絹
螺,luvuoz,2|~.罗逻螺..羅邏
裹,ghouov,3\-.裹..
昔,xeii,1-|.西析昔熙.熹皙醯樨菥.
轩,xovuan,1-~.轩..
谬,mhrius,4\~.谬..
谍,dhriez,2\~.谍..褋
龟,gwvui,1/~.龟.鲑.膭鮭
媳,xryiz,2~/.媳..
姜,jhyiang,1\/.姜..
瞎,xiria,1|~.瞎虾..蝦
冤,yhvuan,1\~.冤..
鸦,yova,1-~.鸦..鴉
蓬,peiengz,2-|.彭蓬棚.堋.芃髼鬅
巷,xeiiangs,4-|.项巷橡..項
琳,leeinz,2--.琳..
栽,zouai,1-|.栽哉..
沾,zhhhan,1\\.沾..
诈,zhvhas,4\~.诈..
斋,zhohai,1\-.斋..齋
瞒,muvanz,2|~.瞒..瞞
彪,bieiao,1|-.彪..
厄,eeys,4-/.厄..礘
咨,zhei,1\-.资姿咨.粢.資秶諮
纺,fvvangv,3~~.纺..
罐,gwouans,4/-.罐..罆
桶,touongv,3-|.桶捅..
壤,rouangv,3-|.壤攘..
糕,ghwao,1\/.糕羔..
颂,swhongs,4/\.颂..頌
膨,pyrengz,2/~.朋鹏膨..鵬
谐,xhriez,2\~.谐..
垒,lrheiv,3~\.垒..絫
咕,guvu,1|~.咕.呱蛄.
隙,xriis,4~|.隙..
辣,lhoas,4\-.辣.瘌.
绑,bvvangv,3~~.绑..
宠,chhhongv,3\\.宠..
嘿,hirei,1|~.黑嘿..黒
兑,dhwuis,4\/.兑..
霉,meheiz,2-\.霉..
挫,couuos,4-|.措挫..
稽,jyei,1/-.积稽箕.嵇犄笄.積稘
辐,fovuz,2-~.辐..
乞,qyeiv,3/-.乞..簯
纱,svvha,1~~.纱..紗繺
裙,qhvunz,2\~.裙..
嘻,xiri,1|~.吸晰嘻.螅曦蟋蜥唏.睎
哇,wuvax,5|~.哇..
绣,xrrius,4~~.绣..
杖,zouhangs,4-|.杖..
塘,touangz,2-|.塘搪.醣樘.
衍,ywwanv,3//.衍..
轴,zovhouz,2-~.轴..
攀,pouan,1-|.攀..
膊,bwvoz,2/~.脖膊..
譬,preis,4~-.屁譬.甓.鷿
斌,bhein,1\-.斌..訜
祈,qhriz,2\~.祈祁.祺.祇禥
踢,tiri,1|~.踢剔..
肆,seiis,4-|.寺肆..蕼
坎,kouanv,3-|.坎..轗
轿,jeriaos,4-~.较轿..
棚,peiengz,2-|.彭蓬棚.堋.芃髼鬅
泣,qhhis,4\\.汽泣.汔.
屡,lvoyuv,3~-.履屡..
躁,zuvaos,4|~.躁噪.唣.
邱,qyiiu,1/|.丘邱..
凰,hwvuangz,2/~.凰.鳇.鰉
溢,yhhis,4\\.忆溢.悒怿.
椎,couhuiz,2-|.椎捶.槌棰.菙
砸,zowaz,2-/.砸..
趟,touangs,4-|.趟..
帘,lhhianz,2\\.怜帘涟.濂.
帆,fuvan,1|~.帆.幡.
栖,qeii,1-|.期欺栖.萋桤.
窜,chhuans,4\\.窜..竄
丸,wwvanz,2/~.丸..
斩,zovhanv,3-~.斩..盞
堤,deii,1-|.堤..鞮
塌,toua,1-|.塌..
贩,fuvans,4|~.贩.畈.販
厢,xeyiang,1-/.厢..
掀,xeiian,1-|.掀.酰莶.
喀,kuva,1|~.咖喀.咔.
乖,gwouai,1/-.乖..
谜,mhriz,2\~.谜.祢.罙禰
捏,neiie,1-|.捏..
阎,yhuanz,2\|.阎.闫.
滨,bhhin,1\\.宾滨濒..賓
虏,luouv,3|-.虏卤..虜
匙,sirhix,5|~.匙..
芦,louuz,2-|.芦.栌垆.蘆
苹,peiingz,2-|.萍苹坪.枰.聠蓱
卸,xyeies,4/-.卸..缷
沼,zhhhaov,3\\.沼..
钥,ywoaos,4/-.钥..籥箹
株,zouhu,1-|.株.茱槠.藷
祷,dhvaov,3\~.祷..禱
剖,phoou,1\-.剖..
熙,xeii,1-|.西析昔熙.熹皙醯樨菥.
哗,huvuaz,2|~.哗..螖
劈,prei,1~-.劈..
怯,qhhies,4\\.窃怯.惬.
棠,tuhangz,2|\.堂棠..
胳,gyre,1/~.胳..
桩,zouhuang,1-|.桩..莊荘
瑰,gooui,1--.规瑰..規鬶
娱,yvwuz,2~/.娱.妤.
娶,qouuv,3-|.取娶..
沫,mhhos,4\\.漠沫寞..
嗓,suvangv,3|~.嗓..
蹲,duvun,1|~.吨蹲..蹾
焚,feienz,2-|.坟焚.棼.鼖
淘,thhaoz,2\\.淘.洮.
嫩,nryens,4~/.嫩..
韵,yhouns,4\-.韵..韻
衬,chrhens,4\~.衬.谶.
匈,xyriong,1/~.胸匈..
钧,jwoun,1/-.钧.筠.
竖,suuhus,4||.竖..
峻,juvuns,4|~.峻..蜠
豹,bwhaos,4/\.豹..
捞,louao,1-|.捞..
菊,jouuz,2-|.菊.橘.駶輂
鄙,biriv,3|~.鄙.吡.
魄,pwuos,4/|.迫魄..
兜,dwuou,1/|.兜..
哄,huvong,1|~.哄..
颖,yyringv,3/~.颖.颍.
镑,bwoangs,4/-.镑..稖
屑,xreies,4~-.屑..
蚁,yiriv,3|~.蚁..螘顗蟻
壶,houuz,2-|.胡壶葫.鹕槲觳醐.縠
怡,yhhiz,2\\.宜沂.怡.
渗,shhhens,4\\.慎渗..
秃,twou,1/-.秃..禿
迦,jryia,1~/.加.迦袈.
旱,huvans,4|~.旱..睅
哟,yuvo,1|~.哟.唷.
咸,xeyianz,2-/.咸..
焉,youan,1-|.焉.菸鄢.醃
谴,qhrianv,3\~.谴..
宛,whhanv,3\\.宛惋..
稻,dwoaos,4/-.稻..稲
铸,zwohus,4/-.筑铸.箸.築
锻,dwouans,4/-.锻..
伽,gwua,1/|..伽.
詹,zwvhan,1/~.詹..鳣
毙,beris,4-~.毕毙毖..
恍,hhhuangv,3\\.恍..
贬,birianv,3|~.贬..覵
烛,zhwhuz,2\/.烛..
骇,hvvais,4~~.骇..
芯,xeiin,1-|.薪芯.馨.
汁,zhhhi,1\\.汁..
桓,houuanz,2-|.桓.萑鬟.轘萈
坊,fouang,1-|.芳坊.枋.
驴,lvvyuz,2~~.驴..
朽,xeiiuv,3-|.朽..
靖,jheings,4\-.竟竞净靖痉..競竸
佣,ywuong,1/|.佣..
汝,rhhuv,3\\.汝..
碌,lowus,4-/.碌..
迄,qyeis,4/-.气迄.憩.
冀,jieis,4|-.冀..茍
荆,jeiing,1-|.荆茎兢.菁.驚莖荊
崔,cuvui,1|~.崔..
雁,yowans,4-/.厌雁砚.赝餍.顑饜贋
绅,srrhen,1~~.绅..紳
珊,soohan,1--.珊..
榜,bouangv,3-|.榜..
诵,shvongs,4\~.讼诵..
傍,bwuangs,4/|.傍..
彦,yhoans,4\-.彦..讞讌諺
醇,couhunz,2-|.醇.莼.醕
笛,dyeiz,2/-.敌笛..篴
禽,qyhinz,2/\.禽..鈙鈂
勿,wwvus,4/~.务勿..
娟,jvwuan,1~/.娟..
瞄,miriaoz,2|~.瞄..
幢,zuvhuangs,4|~.幢..
寇,khhous,4\\.寇..
睹,duvuv,3|~.赌睹..
贿,huvuis,4|~.贿晦.喙蟪.翙賄
踩,cuvaiv,3|~.踩睬..
霆,tehingz,2-\..霆.
呜,wuvu,1|~.呜..趶螐
拱,gouongv,3-|.巩拱汞..鞏
妃,fryei,1~/.飞.妃.飛
蔑,meiies,4-|.蔑..
谕,yhvus,4\~.裕.谕.
缚,fvvus,4~~.缚.驸.縛
诡,ghvuiv,3\~.诡..祪
篷,pyeengz,2/-.篷..
淹,yhhan,1\\.淹.湮恹.
腕,wwvans,4/~.腕..脕
煮,zouhuv,3-|.煮拄..
倩,qyiians,4/|..倩.
卒,chous,4\-.卒..
勘,kouan,1-|.堪勘.戡.
馨,xeiin,1-|.薪芯.馨.
逗,douous,4-|.豆逗..荳
甸,dyrians,4/~.甸..
贱,jirians,4|~.见践贱.踺.見踐瞷
炒,chwhaov,3\/.炒..
灿,chwans,4\/.灿..
敞,cuhhangv,3|\.敞.氅.
蜡,luvas,4|~.蜡..蠟
