的,dehhr,5/|.的..
削,xuel,1|\.削..
岗,gaangm,3|~.岗..
晃,huahngm,4|~.晃..
吞,tung,1--.吞..
宏,hhongo,2\\.洪宏鸿.泓黉.鴻
癌,vvaiy,2\-.癌..
肚,duhq,4/~.肚..
隶,lihn,4~-.隶..
履,lyuun,3~-.履屡..
涨,zhaango,3\\.涨..
耀,yaohl,4|\.耀..
扭,niuuf,3-|.扭..靵
坛,ttanf,2-|.坛檀.覃.醰藫蕁
拨,bof,1-|.播拨菠..
沃,woho,4\\.沃.渥.
绘,huihx,4~~.绘.缋.
伐,ffar,2/|.伐.垡.
堪,kanf,1-|.堪勘.戡.
仆,pur,1/|.仆..
郭,guoy,1\-.郭..
牺,xit,1/-.稀牺锡..
歼,jiand,1-/.歼..
墓,muhf,4-|.木幕墓慕募暮.苜.
雇,guhp,4\~.雇..顧祻
廉,lliany,2\-.廉..
契,qihg,4--.契..
拼,pinf,1-|.拼.拚.
惩,cchenge,2//.惩..
捉,zhuof,1-|.捉拙..
覆,fuhf,4-|.副覆赴..蕧
刷,shuan,1~-.刷..
劫,jjief,2-|.节杰截捷劫桔.颉拮.蓵
嫌,xxianv,2~/.嫌.娴.
瓜,guae,1//.瓜..
歇,xiem,1|~.歇蝎..蠍
雕,diaoq,1/~.雕.鲷.鵰鯛颩
闷,menu,1\|.闷..
乳,ruuw,3/\.乳..
串,chuahnm,4|~.串..
娃,wwav,2~/.娃..
缴,jiaaox,3~~.缴绞..繳絞
唤,huahnm,4|~.患唤..瞣
赢,yyingy,2\-.赢.嬴.贏
莲,llianf,2-|.联莲..連蓮聯鬑聫
霸,bahs,4-\.霸..
桃,ttaof,2-|.桃萄..醄駣騊
妥,tuoow,3/\.妥..
瘦,shouhy,4\-.瘦..
搭,daf,1-|.搭..
赴,fuhf,4-|.副覆赴..蕧
岳,yuehr,4/|.岳粤..粵
嘉,jiaf,1-|.嘉挟枷.葭.
舱,cange,1//.舱..艙
俊,juhnr,4/|.俊.隽.雋
址,zhiif,3-|.指址.酯芷枳.茝藢
庞,ppangy,2\-.旁庞..
耕,gengg,1--.耕..
锐,ruiht,4/-.锐..
缝,ffengx,2~~.缝..縫
悔,huiio,3\\.悔..
邀,yaor,1/|.邀..
玲,llingg,2--.玲..
惟,wweio,2\\.惟潍.涠沩.
斥,chihe,4//.斥..
宅,zzhaio,2\\.宅..
添,tiano,1\\.添..
挖,waf,1-|.挖..
呵,hem,1|~.喝呵.嗬.
讼,sohngp,4\~.讼诵..
氧,yaangt,3/-.氧..
浩,haoho,4\\.浩.灏.
羽,yuuc,3~\.予羽..頨
斤,jine,1//.斤..
酷,kuhf,4-|.酷..
掠,lyuehf,4-|.掠..
妖,yaov,1~/.妖..
祸,huohp,4\~.祸..禍
侍,shihr,4/|.侍仕..
乙,yiin,3~.已乙..
妨,ffangv,2~/.妨..
贪,tanw,1/\.贪..貪
挣,zhehngf,4-|.正政挣..
汪,wango,1\\.汪..
尿,niaohn,4~-.尿..
莉,lihf,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
悬,xxuanm,2|~.悬..蜁
唇,cchund,2-/.唇..脣
翰,hahnf,4-|.翰撼捍.菡.
仓,cangw,1/\.仓..
轨,guiia,3-~.轨..
枚,mmeif,2-|.梅枚酶.楣莓.蘪
盐,yyanf,2-|.严盐.檐.鹽莚
览,laanj,3||.览..
傅,fuhr,4/|.付傅阜..
帅,shuaihk,4|/.帅..
庙,miaohy,4\-.庙..
芬,fenf,1-|.芬酚..
屏,ppingn,2~-.屏..
寺,sihf,4-|.寺肆..蕼
胖,pahngq,4/~.胖..
璃,llig,2--.璃.嫠.釐
愚,yyum,2|~.愚.禺嵛蝓.顒颙
滴,dio,1\\.滴..
疏,shub,1~|.疏..
萧,xiaof,1-|.萧.枵.虈
姿,ziy,1\-.资姿咨.粢.資秶諮
颤,chahny,4\-.颤..顫
丑,chooub,3~|.丑..
劣,liehk,4|/.劣..
柯,kef,1-|.柯棵苛..薖軻
寸,cuhnf,4-|.寸..
扔,rengf,1-|.扔..
盯,dingm,1|~.盯叮.町.虰
辱,ruud,3-/.辱..
匹,piid,3-/.匹..
俱,juhr,4/|.俱.倨.
辨,biahny,4\-.变辩辨辫卞..變辯
饿,ehq,4/~.饿.鳄腭.
蜂,fengm,1|~.峰蜂..鄷盽豊
哦,vvom,2|~.哦..
腔,qiangq,1/~.腔..
郁,yuhd,4-/.郁..礇
溃,kuiho,4\\.溃愧.愦.
谨,jiinp,3\~.谨..
糟,zaoi,1\/.糟..
葛,ggef,2-|.格革葛.鬲塥.騔轕
苗,mmiaof,2-|.描苗.鹋.鶓
肠,cchangq,2/~.肠..腸鲿
忌,jihn,4~-.既忌.暨.鵋鱀
溜,liuo,1\\.溜..
鸿,hhongo,2\\.洪宏鸿.泓黉.鴻
爵,jjuew,2/\.爵..钁
鹏,ppengq,2/~.朋鹏膨..鵬
鹰,yingy,1\-.应鹰.膺.韺鷹
笼,llongt,2/-.笼..籠篭
丘,qiur,1/|.丘邱..
桂,guihf,4-|.桂柜.桧.蓕赽
滋,zio,1\\.滋淄..
聊,lliaof,2-|.聊..
挡,daangf,3-|.挡..
纲,gangx,1~~.纲..綱
肌,jiq,1/~.几肌饥..觭
茨,ccif,2-|.茨.茈.
壳,kkef,2-|.壳..
痕,hheny,2\-.痕..
碗,waand,3-/.碗..
穴,xxueo,2\\.学穴.泶.鸴
膀,baangq,3/~.膀..
卓,zzhuoh,2|-.卓..
贤,xxianj,2||.贤..
卧,wohf,4-|.握卧斡..臥
膜,mmoq,2/~.膜.馍.
毅,yihy,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
锦,jiint,3/-.锦..
欠,qiahnq,4/~.欠..
哩,lim,1|~.哩..
函,hhanb,2~|.函..
茫,mmangf,2-|.茫芒..駹
昂,vvangm,2|~.昂..
薛,xuef,1-|.薛靴..
皱,zhouhq,4/~.皱..
夸,kuad,1-/.夸..
豫,yuhc,4~\.预豫.鹬.預遹矞翑
胃,weihm,4|~.味胃喂畏..蝟
舌,sshet,2/-.舌..
剥,baon,1~-.剥..
傲,aohr,4/|.奥傲..
拾,sshif,2-|.十拾.莳埘.辻
窝,woo,1\\.窝..窩
睁,zhengm,1|~.睁.峥.
携,xxief,2-|.协鞋携.撷.
陵,llingb,2~|.陵..
哼,hengm,1|~.哼..
棉,mmianf,2-|.棉..
晴,qqingm,2|~.晴.黥.
铃,llingt,2/-.铃..笭秢
填,ttianf,2-|.填..
饲,sihq,4/~.饲..
渴,keeo,3\\.渴..
吻,weenm,3|~.吻..
扮,bahnf,4-|.扮拌..
逆,nihi,4\/.逆..
脆,cuihq,4/~.脆..膬臎膵脺
喘,chuaanm,3|~.喘..
罩,zhaohm,4|~.照罩..
卜,buul,3|\.卜..鳪
炉,llui,2\/.炉..
柴,cchaih,2|-.柴..
愉,yyuo,2\\.渔愉渝.窬.
绳,sshengx,2~~.绳..繩
胎,taiq,1/~.胎..
蓄,xuhf,4-|.蓄酗..藚
眠,mmianm,2|~.眠..矊
竭,jjiey,2\-.竭..詰
喂,weihm,4|~.味胃喂畏..蝟
傻,shaar,3/|.傻..
慕,muhf,4-|.木幕墓慕募暮.苜.
浑,hhuno,2\\.浑..
奸,jianv,1~/.奸..
扇,shahnp,4\~.扇.讪.
柜,guihf,4-|.桂柜.桧.蓕赽
悦,yueho,4\\.悦.瀹.
拦,llanf,2-|.蓝拦栏婪..蘭葻藍
诞,dahnp,4\~.诞..禫
饱,baaoq,3/~.饱.鸨.
乾,qqianf,2-|.乾.荨掮.葴軡
泡,paoho,4\\.泡..窌
贼,zzeim,2|~.贼..蠈賊
亭,ttingy,2\-.庭亭..
夕,xiq,1/~.夕膝..饻
爹,diew,1/\.爹..
酬,cchouf,2-|.酬..
儒,rrur,2/|.儒..
姻,yinv,1~/.姻..
卵,luaanq,3/~.卵..
氛,fent,1/-.氛..
泄,xieho,4\\.泄懈泻.瀣渫.
杆,ganf,1-|.甘杆柑.苷酐坩.
挨,aif,1-|.埃挨..
僧,sengr,1/|.僧..
蜜,miho,4\\.密蜜.宓汨.
吟,yyinm,2|~.吟..蟫訔誾
猩,xingq,1/~.猩腥..
遂,suihi,4\/.遂.燧.
狭,xxiaq,2/~.狭.狎.
肖,xiaohl,4|\.肖..
甜,ttiant,2/-.甜..
霞,xxias,2-\.霞..
驳,bbox,2~~.驳..
裕,yuhp,4\~.裕.谕.
顽,wwang,2--.玩顽..
於,yuy,1\-..於瘀.
摘,zhaif,1-|.摘..
矮,aait,3/-.矮..
秒,miaaot,3/-.秒..
卿,qingq,1/~.卿.鲭.鯖
畜,xuhy,4\-.序畜..訹
咽,yahnm,4|~.咽唁.晏.鷃艶
披,pif,1-|.批披坯..
辅,fuua,3-~.辅..
勾,gouq,1/~.勾..
盆,ppenw,2/\.盆..
疆,jiangn,1~-.疆..
赌,duum,3|~.赌睹..
塑,suhi,4\/.塑..遡
畏,weihm,4|~.味胃喂畏..蝟
吵,chaaom,3|~.吵..
囊,nnangf,2-|.囊..
嗯,nngm,2|~..嗯.
泊,bboo,2\\.泊渤..
肺,feihq,4/~.肺.狒.
骤,zhouhx,4~~.骤.纣绉.紂
缠,cchanx,2~~.缠..繟纒纏
冈,gangm,1|~.刚冈.罡.
羞,xiui,1\/.羞..
瞪,dehngm,4|~.瞪.嶝.
吊,diaohm,4|~.吊..
贾,guuf,3-|.古鼓贾.嘏瞽.盬糓
漏,louho,4\\.漏..
斑,bang,1--.班斑..
涛,taoo,1\\.涛滔..
悠,your,1/|.优悠.攸.
鹿,luhy,4\-.鹿..
俘,ffur,2/|.伏俘..
锡,xit,1/-.稀牺锡..
卑,beir,1/|.卑.鹎.
葬,zahngf,4-|.葬..
铭,mmingt,2/-.铭..
滩,tano,1\\.滩..
嫁,jiahv,4~/.架驾嫁..駕
催,cuir,1/|.催..
璇,xxuang,2--..璇.
翅,chihf,4-|.赤翅.敕踅.趩鶒鷘
盒,hhew,2/\.合盒.颌.龢頜
蛮,mmany,2\-.蛮..蠻
矣,yiic,3~\.以矣..
潘,pano,1\\.潘..
歧,qqih,2|-.歧..
赐,cihm,4|~.赐..賜
鲍,baohq,4/~.鲍刨..
锅,guot,1/-.锅..
廊,llangy,2\-.廊..
拆,chaif,1-|.拆..
灌,guahno,4\\.惯灌.涫.
勉,miaanq,3/~.免勉.腼.
盲,mmangy,2\-.盲氓.邙.龒
宰,zaaio,3\\.宰..
佐,zuoor,3/|.佐..
啥,ssham,2|~.啥..
胀,zhahngq,4/~.胀..脹
扯,cheef,3-|.扯..
禧,xiip,3\~..禧.
辽,lliaob,2~|.辽..
抹,maf,1-|.抹..
筒,toongt,3/-.筒..
棋,qqif,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
裤,kuhp,4\~.裤..袴褲
唉,aihm,4|~.唉.暧嗌.賹
朴,puuf,3-|.朴埔..
咐,fuhm,4|~.赋咐.蝮赙.賦
孕,yuhnv,4~/.孕..
誓,shihf,4-|.事世士势誓逝拭柿.螫贳.
喉,hhoum,2|~.喉.骺.睺
妄,wahngy,4\-.望忘妄..
拘,juf,1-|.拘鞠.掬趄鞫苴椐.
链,liahnt,4/-.链..稴
驰,cchix,2~~.驰..
栏,llanf,2-|.蓝拦栏婪..蘭葻藍
逝,shihf,4-|.事世士势誓逝拭柿.螫贳.
窃,qieho,4\\.窃怯.惬.
艳,yahng,4--.艳..
臭,chouhr,4/|.臭..
纤,xianx,1~~.纤..纖縿
玑,jig,1--.击.玑.
棵,kef,1-|.柯棵苛..薖軻
趁,chehnf,4-|.趁.榇.
匠,jiahngd,4-/.匠..
盈,yyingv,2~/.盈..
翁,wengw,1/\.翁..鹟鶲
愁,cchout,2/-.筹愁稠..籌
瞬,shuhnm,4|~.瞬..
婴,yingm,1|~.婴.鹦嘤罂.譻
孝,xiaohf,4-|.校孝..
颈,jiingc,3~\.颈.刭.
倘,taangr,3/|.躺倘.傥.
浙,zheho,4\\.浙..
谅,liahngp,4\~.谅..
蔽,bihf,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
畅,chahngm,4|~.唱畅..
赠,zehngm,4|~.赠..贈
妮,niv,1~/.妮..
莎,shaf,1-|.莎..蔱
尉,weihn,4~-.慰尉..
冻,dohngy,4\-.冻..詷
跪,guihm,4|~.贵跪.炅刿.貴瞆趹
闯,chuaangu,3\|.闯..
葡,ppuf,2-|.葡菩蒲莆..酺
後,houhe,4//.后.後逅.郈
厨,cchud,2-/.厨..豠
鸭,yam,1|~.鸭..鴨
颠,dianf,1-|.颠掂..顛
遮,zhey,1\-.遮..
谊,yihp,4\~.议译谊诣..袣褹
圳,zhehnf,4-|.振.圳.
吁,yuhm,4|~.遇吁喻峪.昱蜮.閾
仑,llunw,2/\.仑..
辟,bihn,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
瘤,lliuy,2\-.刘瘤.旒.
嫂,saaov,3~/.嫂..
陀,ttuob,2~|.陀..陁迆
框,kuahngf,4-|.框.圹.
谭,ttanp,2\~.谈谭..
亨,hengy,1\-.亨..
钦,qint,1/-.钦..
庸,yongy,1\-.庸雍痈.饔壅.鄘
歉,qiahni,4\/.歉..
芝,zhif,1-|.支枝芝.栀.鳷
吼,hooum,3|~.吼..
甫,fuuf,3-|.抚甫.拊.輔郙
衫,shanp,1\~.衫..
摊,tanf,1-|.摊坍..
宴,yahno,4\\.宴.滟.
嘱,zhuum,3|~.嘱瞩..矚
衷,zhongy,1\-.衷..螤
娇,jiaov,1~/.娇.姣.
陕,shaanb,3~|.陕..陝
矩,juut,3/-.矩.榘.筥
浦,puuo,3\\.浦.溥.
讶,yahp,4\~.讶..
耸,soongw,3/\.耸怂..
裸,luoop,3\~.裸..
碧,bihg,4--.碧..
摧,cuif,1-|.摧.榱.
薪,xinf,1-|.薪芯.馨.
淋,llino,2\\.淋..
耻,chiif,3-|.耻.豉.
胶,jiaoq,1/~.胶.鲛.膠膲
屠,ttun,2~-.屠..鷵
鹅,vvet,2/-.鹅.锇.鵝
饥,jiq,1/~.几肌饥..觭
盼,pahnm,4|~.盼畔..眫
脖,bboq,2/~.脖膊..
虹,hhongm,2|~.虹..
翠,cuihc,4~\.翠..翆
崩,bengm,1|~.崩.嘣.
账,zhahngm,4|~.帐账.嶂幛.瞕
萍,ppingf,2-|.萍苹坪.枰.聠蓱
逢,ffengq,2/~.逢..
赚,zhuahnm,4|~.赚.啭.
撑,chengf,1-|.撑.柽.赪頳
翔,xxiangi,2\/.翔..
倡,chahngr,4/|.倡..
绵,mmianx,2~~.绵..綿
猴,hhouq,2/~.猴..腄
枯,kuf,1-|.枯.堀.
巫,wuf,1-|.巫.圬.
昭,zhaom,1|~.昭..鼂
怔,zhengo,1\\.怔..
渊,yuano,1\\.渊..鹓
凑,couhy,4\-.凑..
溪,xio,1\\.惜溪汐.淅浠穸.窸鸂
蠢,chuung,3--.蠢..
禅,cchanp,2\~.谗.禅.禪
阐,chaanu,3\|.阐..
旺,wahngm,4|~.旺..盳
寓,yuho,4\\.誉寓浴..鴪鴧
藤,ttengf,2-|.藤..
匪,feeif,3-|.菲匪.榧.蕜
伞,saanw,3/\.伞..
碑,beid,1-/.碑..
挪,nnuof,2-|.挪..
琼,qqiongg,2--.琼..
脂,zhiq,1/~.脂肢.胝.鴲胑
谎,huaangp,3\~.谎..
慨,kaaio,3\\.慨.恺.
菩,ppuf,2-|.葡菩蒲莆..酺
萄,ttaof,2-|.桃萄..醄駣騊
狮,shiq,1/~.狮..鰤魳
掘,jjuef,2-|.掘抉攫.蕨橛桷.蕝芵
抄,chaof,1-|.超抄..
岭,liingm,3|~.岭..
晕,yunm,1|~.晕..
逮,daihn,4~-.逮..
砍,kaand,3-/.砍..
掏,taof,1-|.掏..
狄,ddiq,2/~.狄..
晰,xim,1|~.吸晰嘻.螅曦蟋蜥唏.睎
罕,haanp,3\~.罕..
挽,waanf,3-|.挽.菀.輓
脾,ppiq,2/~.脾..腗
舟,zhoue,1//.舟..
痴,chiy,1\-.痴..
蔡,caihf,4-|.菜蔡..
剪,jiaani,3\/.剪.翦.
脊,jjiy,2\-.疾脊.瘠.鹡鶺
弓,gongn,1~-.弓..
懒,laano,3\\.懒.漤.
叉,chac,1~\.叉..
拐,guaaif,3-|.拐..
喃,nnanm,2|~.男.喃.
僚,lliaor,2/|.僚..
捐,juanf,1-|.捐..
姊,ziiv,3~/..姊.
骚,saox,1~~.骚.缫.
拓,tahf,4-|.拓挞.榻.
歪,waid,1-/.歪..
粘,zhani,1\/.粘..
柄,biingf,3-|.柄丙.邴.
坑,kengf,1-|.坑..
陌,mohb,4~|.陌..
窄,zhaaio,3\\.窄..
湘,xiango,1\\.湘..
兆,zhaohw,4/\.兆..
崖,yyam,2|~.崖蚜.睚岈.
骄,jiaox,1~~.骄..
刹,shaw,1/\.杀刹..閷
鞭,bianf,1-|.鞭..
芒,mmangf,2-|.茫芒..駹
筋,jint,1/-.筋.钅.
聘,pihnf,4-|.聘..
钩,gout,1/-.钩.篝.簼
棍,guhnf,4-|.棍..
嚷,raangm,3|~.嚷..
腺,xiahnq,4/~.腺馅..
弦,xxiann,2~-.弦..
焰,yahni,4\/.焰.焱.
耍,shuaad,3-/.耍..
俯,fuur,3/|.俯..
厘,llid,2-/.厘..
愣,lehngo,4\\..愣.
厦,shahd,4-/.厦..
恳,keenn,3~-.恳垦..
饶,rraoq,2/~.饶..
钉,dingt,1/-.钉..
寡,guaao,3\\.寡..
憾,hahno,4\\.汉汗憾悍.瀚.
摔,shuaif,1-|.摔..
叠,ddiec,2~\.叠..
惹,reef,3-|.惹..
喻,yuhm,4|~.遇吁喻峪.昱蜮.閾
谱,puup,3\~.谱..
愧,kuiho,4\\.溃愧.愦.
煌,hhuangi,2\/.煌..
徽,huie,1//.徽..
溶,rrongo,2\\.容溶..
坠,zhuihb,4~|.坠..
煞,shahq,4/~.煞..
巾,jinm,1|~.巾..
滥,lahno,4\\.滥..
洒,saao,3\\.洒..
堵,duuf,3-|.堵..覩
瓷,cciy,2\-.瓷..詞餈
咒,zhouhm,4|~.咒.胄.
姨,yyiv,2~/.姨..
棒,bahngf,4-|.棒.蒡.
郡,juhnn,4~-.郡..
浴,yuho,4\\.誉寓浴..鴪鴧
媚,meihv,4~/.妹媚..
稣,suq,1/~..稣.鯂
淮,hhuaio,2\\.怀淮..
哎,aim,1|~.哎..
屁,pihn,4~-.屁譬.甓.鷿
漆,qio,1\\.漆沏柒..
淫,yyino,2\\.淫寅..
巢,cchaox,2~~.巢..鄛
吩,fenm,1|~.吩..
撰,zhuahnf,4-|.撰..蒃
啸,xiaohm,4|~.啸..
滞,zhiho,4\\.治滞窒.忮.
玫,mmeig,2--.玫..
硕,shuohd,4-/.硕..碩
钓,diaoht,4/-.钓.铫铞.
蝶,ddiem,2|~.蝶.喋蹀.蜨眣
膝,xiq,1/~.夕膝..饻
姚,yyaov,2~/.姚..
茂,maohf,4-|.茂.懋耄.鄚芼
躯,qur,1/|.躯..軀
吏,lihf,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
猿,yyuanq,2/~.猿..
寨,zhaiho,4\\.寨..
恕,shuhv,4~/.恕..
渠,qquo,2\\.渠..
戚,qid,1-/.戚..碕
辰,cchend,2-/.辰..
舶,bboe,2//.舶..艊
颁,banw,1/\.颁..頒
惶,hhuango,2\\.惶.潢湟.
狐,hhuq,2/~.狐.斛猢.魱
讽,feengp,3\~.讽..
笨,behnt,4/-.笨..
袍,ppaop,2\~.袍..
嘲,cchaom,2|~.嘲.晁.
啡,feim,1|~.啡..
泼,poo,1\\.泼..
衔,xxiane,2//.衔舷..銜
倦,juahnr,4/|.倦..
涵,hhano,2\\.寒涵..
雀,quehk,4|/.雀..
旬,xxunq,2/~.旬.鲟郇.
僵,jiangr,1/|.僵..
撕,sif,1-|.斯撕..
肢,zhiq,1/~.脂肢.胝.鴲胑
垄,loongd,3-/.垄..
夷,yyia,2-~.夷..鴺
逸,yihq,4/~.逸臆肄..鮨
茅,mmaof,2-|.茅.髦茆.髳鶜
侨,qqiaor,2/|.侨..
舆,yyur,2/|.舆.臾舁.輿
窑,yyaoo,2\\.窑..窯
涅,nieho,4\\.涅..
蒲,ppuf,2-|.葡菩蒲莆..酺
谦,qianp,1\~.谦..
杭,hhangf,2-|.杭..
噢,om,1|~..噢喔.
弊,bihi,4\/.弊敝..鷩
勋,xunm,1|~.勋.曛.矄
刮,guat,1/-.刮.鸹.鴰
郊,jiaoy,1\-.交郊..
凄,qiy,1\-.凄..諆
捧,peengf,3-|.捧..
浸,jihno,4\\.浸..
砖,zhuand,1-/.砖..磚
鼎,diingm,3|~.鼎..
篮,llant,2/-.篮.镧.籣
蒸,zhengf,1-|.蒸..
饼,biingq,3/~.饼..
亩,muuy,3\-.亩..
肾,shehnj,4||.肾..
陡,dooub,3~|.陡..
爪,zhaaoe,3//.爪..
兔,tuhq,4/~.兔..
殷,yine,1//.殷..
贞,zhenh,1|-.贞..貞
荐,jiahnf,4-|.荐槛.楗.薦鍳趝
哑,yaam,3|~.哑..
炭,tahnm,4|~.叹炭..
坟,ffenf,2-|.坟焚.棼.鼖
眨,zhaam,3|~.眨..
搏,bbof,2-|.博勃搏.鹁.茀駮豰
咳,haim,1|~.咳.嗨.
拢,loongf,3-|.拢.垅.
舅,jiuhr,4/|.舅臼.僦.
昧,meihm,4|~.昧..眊跊
擅,shahnf,4-|.擅..
爽,shuaangd,3-/.爽..
咖,kam,1|~.咖喀.咔.
搁,gef,1-|.哥歌搁.圪.
禄,luhp,4\~.禄..祿
雌,ccih,2|-.雌..鴜飺
哨,shaohm,4|~.哨..
巩,goongf,3-|.巩拱汞..鞏
绢,juahnx,4~~.绢..絹
螺,lluom,2|~.罗逻螺..羅邏
裹,guooy,3\-.裹..
昔,xif,1-|.西析昔熙.熹皙醯樨菥.
轩,xuana,1-~.轩..
谬,miuhp,4\~.谬..
谍,ddiep,2\~.谍..褋
龟,guiq,1/~.龟.鲑.膭鮭
媳,xxiv,2~/.媳..
姜,jiangi,1\/.姜..
瞎,xiam,1|~.瞎虾..蝦
冤,yuanp,1\~.冤..
鸦,yaa,1-~.鸦..鴉
蓬,ppengf,2-|.彭蓬棚.堋.芃髼鬅
巷,xiahngf,4-|.项巷橡..項
琳,lling,2--.琳..
栽,zaif,1-|.栽哉..
沾,zhano,1\\.沾..
诈,zhahp,4\~.诈..
斋,zhaiy,1\-.斋..齋
瞒,mmanm,2|~.瞒..瞞
彪,biaoh,1|-.彪..
厄,ehd,4-/.厄..礘
咨,ziy,1\-.资姿咨.粢.資秶諮
纺,faangx,3~~.纺..
罐,guahnt,4/-.罐..罆
桶,toongf,3-|.桶捅..
壤,raangf,3-|.壤攘..
糕,gaoi,1\/.糕羔..
颂,sohngw,4/\.颂..頌
膨,ppengq,2/~.朋鹏膨..鵬
谐,xxiep,2\~.谐..
垒,leeic,3~\.垒..絫
咕,gum,1|~.咕.呱蛄.
隙,xihb,4~|.隙..
辣,lahy,4\-.辣.瘌.
绑,baangx,3~~.绑..
宠,choongo,3\\.宠..
嘿,heim,1|~.黑嘿..黒
兑,duihi,4\/.兑..
霉,mmeis,2-\.霉..
挫,cuohf,4-|.措挫..
稽,jit,1/-.积稽箕.嵇犄笄.積稘
辐,ffua,2-~.辐..
乞,qiit,3/-.乞..簯
纱,shax,1~~.纱..紗繺
裙,qqunp,2\~.裙..
嘻,xim,1|~.吸晰嘻.螅曦蟋蜥唏.睎
哇,wahhm,5|~.哇..
绣,xiuhx,4~~.绣..
杖,zhahngf,4-|.杖..
塘,ttangf,2-|.塘搪.醣樘.
衍,yaane,3//.衍..
轴,zzhoua,2-~.轴..
攀,panf,1-|.攀..
膊,bboq,2/~.脖膊..
譬,pihn,4~-.屁譬.甓.鷿
斌,biny,1\-.斌..訜
祈,qqip,2\~.祈祁.祺.祇禥
踢,tim,1|~.踢剔..
肆,sihf,4-|.寺肆..蕼
坎,kaanf,3-|.坎..轗
轿,jiaoha,4-~.较轿..
棚,ppengf,2-|.彭蓬棚.堋.芃髼鬅
泣,qiho,4\\.汽泣.汔.
屡,lyuun,3~-.履屡..
躁,zaohm,4|~.躁噪.唣.
邱,qiur,1/|.丘邱..
凰,hhuangq,2/~.凰.鳇.鰉
溢,yiho,4\\.忆溢.悒怿.
椎,cchuif,2-|.椎捶.槌棰.菙
砸,zzad,2-/.砸..
趟,tahngf,4-|.趟..
帘,lliano,2\\.怜帘涟.濂.
帆,fanm,1|~.帆.幡.
栖,qif,1-|.期欺栖.萋桤.
窜,cuahno,4\\.窜..竄
丸,wwanq,2/~.丸..
斩,zhaana,3-~.斩..盞
堤,dif,1-|.堤..鞮
塌,taf,1-|.塌..
贩,fahnm,4|~.贩.畈.販
厢,xiangd,1-/.厢..
掀,xianf,1-|.掀.酰莶.
喀,kam,1|~.咖喀.咔.
乖,guait,1/-.乖..
谜,mmip,2\~.谜.祢.罙禰
捏,nief,1-|.捏..
阎,yyanu,2\|.阎.闫.
滨,bino,1\\.宾滨濒..賓
虏,luuh,3|-.虏卤..虜
匙,shihhm,5|~.匙..
芦,lluf,2-|.芦.栌垆.蘆
苹,ppingf,2-|.萍苹坪.枰.聠蓱
卸,xieht,4/-.卸..缷
沼,zhaaoo,3\\.沼..
钥,yaoht,4/-.钥..籥箹
株,zhuf,1-|.株.茱槠.藷
祷,daaop,3\~.祷..禱
剖,pouy,1\-.剖..
熙,xif,1-|.西析昔熙.熹皙醯樨菥.
哗,hhuam,2|~.哗..螖
劈,pin,1~-.劈..
怯,qieho,4\\.窃怯.惬.
棠,ttangl,2|\.堂棠..
胳,geq,1/~.胳..
桩,zhuangf,1-|.桩..莊荘
瑰,guig,1--.规瑰..規鬶
娱,yyuv,2~/.娱.妤.
娶,quuf,3-|.取娶..
沫,moho,4\\.漠沫寞..
嗓,saangm,3|~.嗓..
蹲,dunm,1|~.吨蹲..蹾
焚,ffenf,2-|.坟焚.棼.鼖
淘,ttaoo,2\\.淘.洮.
嫩,nehnv,4~/.嫩..
韵,yuhny,4\-.韵..韻
衬,chehnp,4\~.衬.谶.
匈,xiongq,1/~.胸匈..
钧,junt,1/-.钧.筠.
竖,shuhj,4||.竖..
峻,juhnm,4|~.峻..蜠
豹,baohw,4/\.豹..
捞,laof,1-|.捞..
菊,jjuf,2-|.菊.橘.駶輂
鄙,biim,3|~.鄙.吡.
魄,pohr,4/|.迫魄..
兜,dour,1/|.兜..
哄,hongm,1|~.哄..
颖,yiingq,3/~.颖.颍.
镑,bahngt,4/-.镑..稖
屑,xiehn,4~-.屑..
蚁,yiim,3|~.蚁..螘顗蟻
壶,hhuf,2-|.胡壶葫.鹕槲觳醐.縠
怡,yyio,2\\.宜沂.怡.
渗,shehno,4\\.慎渗..
秃,tut,1/-.秃..禿
迦,jiav,1~/.加.迦袈.
旱,hahnm,4|~.旱..睅
哟,yom,1|~.哟.唷.
咸,xxiand,2-/.咸..
焉,yanf,1-|.焉.菸鄢.醃
谴,qiaanp,3\~.谴..
宛,waano,3\\.宛惋..
稻,daoht,4/-.稻..稲
铸,zhuht,4/-.筑铸.箸.築
锻,duahnt,4/-.锻..
伽,gar,1/|..伽.
詹,zhanq,1/~.詹..鳣
毙,biha,4-~.毕毙毖..
恍,huaango,3\\.恍..
贬,biaanm,3|~.贬..覵
烛,zzhui,2\/.烛..
骇,haihx,4~~.骇..
芯,xinf,1-|.薪芯.馨.
汁,zhio,1\\.汁..
桓,hhuanf,2-|.桓.萑鬟.轘萈
坊,fangf,1-|.芳坊.枋.
驴,llyux,2~~.驴..
朽,xiuuf,3-|.朽..
靖,jihngy,4\-.竟竞净靖痉..競竸
佣,yongr,1/|.佣..
