的,daiehh,5/|.的..
溜,luuiu,1\\.溜..
鸿,huuohng,2\\.洪宏鸿.泓黉.鴻
爵,jauueh,2/\.爵..钁
鹏,paoehng,2/~.朋鹏膨..鵬
鹰,yueing,1\-.应鹰.膺.韺鷹
笼,laeohng,2/-.笼..籠篭
丘,qaiiu,1/|.丘邱..
桂,geiuiih,4-|.桂柜.桧.蓕赽
滋,zuui,1\\.滋淄..
聊,leiiaoh,2-|.聊..
挡,deiaang,3-|.挡..
纲,gooang,1~~.纲..綱
肌,jaoi,1/~.几肌饥..觭
茨,ceiih,2-|.茨.茈.
壳,keieh,2-|.壳..
痕,hueehn,2\-.痕..
碗,weaaan,3-/.碗..
穴,xuuueh,2\\.学穴.泶.鸴
膀,baoaang,3/~.膀..
卓,zhieuoh,2|-.卓..
贤,xiiiahn,2||.贤..
卧,weiooh,4-|.握卧斡..臥
膜,maooh,2/~.膜.馍.
毅,yueiih,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
锦,jaeiin,3/-.锦..
欠,qaoiaahn,4/~.欠..
哩,lioi,1|~.哩..
函,hoiahn,2~|.函..
茫,meiahng,2-|.茫芒..駹
昂,ioahng,2|~.昂..
薛,xeiue,1-|.薛靴..
皱,zhaooouh,4/~.皱..
夸,keaua,1-/.夸..
豫,youuuh,4~\.预豫.鹬.預遹矞翑
胃,wioeeih,4|~.味胃喂畏..蝟
舌,shaeeh,2/-.舌..
剥,boeao,1~-.剥..
傲,aiaaoh,4/|.奥傲..
拾,sheiih,2-|.十拾.莳埘.辻
窝,wuuo,1\\.窝..窩
睁,zhioeng,1|~.睁.峥.
携,xeiieh,2-|.协鞋携.撷.
陵,loiihng,2~|.陵..
哼,hioeng,1|~.哼..
棉,meiiahn,2-|.棉..
晴,qioihng,2|~.晴.黥.
铃,laeihng,2/-.铃..笭秢
填,teiiahn,2-|.填..
饲,saoiih,4/~.饲..
渴,kuuee,3\\.渴..
吻,wioeen,3|~.吻..
扮,beiaahn,4-|.扮拌..
逆,nuaiih,4\/.逆..
脆,caouiih,4/~.脆..膬臎膵脺
喘,chiouaan,3|~.喘..
罩,zhioaaoh,4|~.照罩..
卜,biuuu,3|\.卜..鳪
炉,luauh,2\/.炉..
柴,chieaih,2|-.柴..
愉,yuuuh,2\\.渔愉渝.窬.
绳,shooehng,2~~.绳..繩
胎,taoai,1/~.胎..
蓄,xeiuuh,4-|.蓄酗..藚
眠,mioiahn,2|~.眠..矊
竭,jueieh,2\-.竭..詰
喂,wioeeih,4|~.味胃喂畏..蝟
傻,shaiaa,3/|.傻..
慕,meiuuh,4-|.木幕墓慕募暮.苜.
浑,huuuhn,2\\.浑..
奸,joaian,1~/.奸..
扇,shuoaahn,4\~.扇.讪.
柜,geiuiih,4-|.桂柜.桧.蓕赽
悦,yuuueeh,4\\.悦.瀹.
拦,leiahn,2-|.蓝拦栏婪..蘭葻藍
诞,duoaahn,4\~.诞..禫
饱,baoaao,3/~.饱.鸨.
乾,qeiiahn,2-|.乾.荨掮.葴軡
泡,puuaaoh,4\\.泡..窌
贼,zioeih,2|~.贼..蠈賊
亭,tueihng,2\-.庭亭..
夕,xaoi,1/~.夕膝..饻
爹,dauie,1/\.爹..
酬,cheiouh,2-|.酬..
儒,raiuh,2/|.儒..
姻,yoain,1~/.姻..
卵,laouaan,3/~.卵..
氛,faeen,1/-.氛..
泄,xuuieeh,4\\.泄懈泻.瀣渫.
杆,geian,1-|.甘杆柑.苷酐坩.
挨,eiai,1-|.埃挨..
僧,saieng,1/|.僧..
蜜,muuiih,4\\.密蜜.宓汨.
吟,yioihn,2|~.吟..蟫訔誾
猩,xaoing,1/~.猩腥..
遂,suauiih,4\/.遂.燧.
狭,xaoiah,2/~.狭.狎.
肖,xiuiaaoh,4|\.肖..
甜,taeiahn,2/-.甜..
霞,xeuiah,2-\.霞..
驳,boooh,2~~.驳..
裕,yuouuh,4\~.裕.谕.
顽,weeahn,2--.玩顽..
於,yueu,1\-..於瘀.
摘,zheiai,1-|.摘..
矮,aeaai,3/-.矮..
秒,maeiaao,3/-.秒..
卿,qaoing,1/~.卿.鲭.鯖
畜,xueuuh,4\-.序畜..訹
咽,yioaahn,4|~.咽唁.晏.鷃艶
披,peii,1-|.批披坯..
辅,feouu,3-~.辅..
勾,gaoou,1/~.勾..
盆,pauehn,2/\.盆..
疆,joeiang,1~-.疆..
赌,diouu,3|~.赌睹..
塑,suauuh,4\/.塑..遡
畏,wioeeih,4|~.味胃喂畏..蝟
吵,chioaao,3|~.吵..
囊,neiahng,2-|.囊..
嗯,ioehng,2|~..嗯.
泊,buuoh,2\\.泊渤..
肺,faoeeih,4/~.肺.狒.
骤,zhoooouh,4~~.骤.纣绉.紂
缠,chooahn,2~~.缠..繟纒纏
冈,gioang,1|~.刚冈.罡.
羞,xuaiu,1\/.羞..
瞪,dioeehng,4|~.瞪.嶝.
吊,dioiaaoh,4|~.吊..
贾,geiuu,3-|.古鼓贾.嘏瞽.盬糓
漏,luuoouh,4\\.漏..
斑,beean,1--.班斑..
涛,tuuao,1\\.涛滔..
悠,yaiou,1/|.优悠.攸.
鹿,lueuuh,4\-.鹿..
俘,faiuh,2/|.伏俘..
锡,xaei,1/-.稀牺锡..
卑,baiei,1/|.卑.鹎.
葬,zeiaahng,4-|.葬..
铭,maeihng,2/-.铭..
滩,tuuan,1\\.滩..
嫁,joaiaah,4~/.架驾嫁..駕
催,caiui,1/|.催..
璇,xeeuahn,2--..璇.
翅,cheiiih,4-|.赤翅.敕踅.趩鶒鷘
盒,haueh,2/\.合盒.颌.龢頜
蛮,mueahn,2\-.蛮..蠻
矣,youii,3~\.以矣..
潘,puuan,1\\.潘..
歧,qieih,2|-.歧..
赐,cioiih,4|~.赐..賜
鲍,baoaaoh,4/~.鲍刨..
锅,gaeuo,1/-.锅..
廊,lueahng,2\-.廊..
拆,cheiai,1-|.拆..
灌,guuuaahn,4\\.惯灌.涫.
勉,maoiaan,3/~.免勉.腼.
盲,mueahng,2\-.盲氓.邙.龒
宰,zuuaai,3\\.宰..
佐,zaiuoo,3/|.佐..
啥,shioah,2|~.啥..
胀,zhaoaahng,4/~.胀..脹
扯,cheiee,3-|.扯..
禧,xuoii,3\~..禧.
辽,loiiaoh,2~|.辽..
抹,meia,1-|.抹..
筒,taeoong,3/-.筒..
棋,qeiih,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
裤,kuouuh,4\~.裤..袴褲
唉,ioaaih,4|~.唉.暧嗌.賹
朴,peiuu,3-|.朴埔..
咐,fiouuh,4|~.赋咐.蝮赙.賦
孕,yoauuhn,4~/.孕..
誓,sheiiih,4-|.事世士势誓逝拭柿.螫贳.
喉,hioouh,2|~.喉.骺.睺
妄,wueaahng,4\-.望忘妄..
拘,jeiu,1-|.拘鞠.掬趄鞫苴椐.
链,laeiaahn,4/-.链..稴
驰,chooih,2~~.驰..
栏,leiahn,2-|.蓝拦栏婪..蘭葻藍
逝,sheiiih,4-|.事世士势誓逝拭柿.螫贳.
窃,quuieeh,4\\.窃怯.惬.
艳,yeeaahn,4--.艳..
臭,chaioouh,4/|.臭..
纤,xooian,1~~.纤..纖縿
玑,jeei,1--.击.玑.
棵,keie,1-|.柯棵苛..薖軻
趁,cheieehn,4-|.趁.榇.
匠,jeaiaahng,4-/.匠..
盈,yoaihng,2~/.盈..
翁,waueng,1/\.翁..鹟鶲
愁,chaeouh,2/-.筹愁稠..籌
瞬,shiouuhn,4|~.瞬..
婴,yioing,1|~.婴.鹦嘤罂.譻
孝,xeiiaaoh,4-|.校孝..
颈,jouiing,3~\.颈.刭.
倘,taiaang,3/|.躺倘.傥.
浙,zhuueeh,4\\.浙..
谅,luoiaahng,4\~.谅..
蔽,beiiih,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
畅,chioaahng,4|~.唱畅..
赠,zioeehng,4|~.赠..贈
妮,noai,1~/.妮..
莎,sheia,1-|.莎..蔱
尉,woeeeih,4~-.慰尉..
冻,dueoohng,4\-.冻..詷
跪,giouiih,4|~.贵跪.炅刿.貴瞆趹
闯,chuiuaang,3\|.闯..
葡,peiuh,2-|.葡菩蒲莆..酺
後,haaoouh,4//.后.後逅.郈
厨,cheauh,2-/.厨..豠
鸭,yioa,1|~.鸭..鴨
颠,deiian,1-|.颠掂..顛
遮,zhuee,1\-.遮..
谊,yuoiih,4\~.议译谊诣..袣褹
圳,zheieehn,4-|.振.圳.
吁,yiouuh,4|~.遇吁喻峪.昱蜮.閾
仑,lauuhn,2/\.仑..
辟,boeiih,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
瘤,lueiuh,2\-.刘瘤.旒.
嫂,soaaao,3~/.嫂..
陀,toiuoh,2~|.陀..陁迆
框,keiuaahng,4-|.框.圹.
谭,tuoahn,2\~.谈谭..
亨,hueeng,1\-.亨..
钦,qaein,1/-.钦..
庸,yueong,1\-.庸雍痈.饔壅.鄘
歉,quaiaahn,4\/.歉..
芝,zheii,1-|.支枝芝.栀.鳷
吼,hiooou,3|~.吼..
甫,feiuu,3-|.抚甫.拊.輔郙
衫,shuoan,1\~.衫..
摊,teian,1-|.摊坍..
宴,yuuaahn,4\\.宴.滟.
嘱,zhiouu,3|~.嘱瞩..矚
衷,zhueong,1\-.衷..螤
娇,joaiao,1~/.娇.姣.
陕,shoiaan,3~|.陕..陝
矩,jaeuu,3/-.矩.榘.筥
浦,puuuu,3\\.浦.溥.
讶,yuoaah,4\~.讶..
耸,sauoong,3/\.耸怂..
裸,luouoo,3\~.裸..
碧,beeiih,4--.碧..
摧,ceiui,1-|.摧.榱.
薪,xeiin,1-|.薪芯.馨.
淋,luuihn,2\\.淋..
耻,cheiii,3-|.耻.豉.
胶,jaoiao,1/~.胶.鲛.膠膲
屠,toeuh,2~-.屠..鷵
鹅,aeeh,2/-.鹅.锇.鵝
饥,jaoi,1/~.几肌饥..觭
盼,pioaahn,4|~.盼畔..眫
脖,baooh,2/~.脖膊..
虹,hioohng,2|~.虹..
翠,couuiih,4~\.翠..翆
崩,bioeng,1|~.崩.嘣.
账,zhioaahng,4|~.帐账.嶂幛.瞕
萍,peiihng,2-|.萍苹坪.枰.聠蓱
逢,faoehng,2/~.逢..
赚,zhiouaahn,4|~.赚.啭.
撑,cheieng,1-|.撑.柽.赪頳
翔,xuaiahng,2\/.翔..
倡,chaiaahng,4/|.倡..
绵,mooiahn,2~~.绵..綿
猴,haoouh,2/~.猴..腄
枯,keiu,1-|.枯.堀.
巫,weiu,1-|.巫.圬.
昭,zhioao,1|~.昭..鼂
怔,zhuueng,1\\.怔..
渊,yuuuan,1\\.渊..鹓
凑,cueoouh,4\-.凑..
溪,xuui,1\\.惜溪汐.淅浠穸.窸鸂
蠢,cheeuun,3--.蠢..
禅,chuoahn,2\~.谗.禅.禪
阐,chuiaan,3\|.阐..
旺,wioaahng,4|~.旺..盳
寓,yuuuuh,4\\.誉寓浴..鴪鴧
藤,teiehng,2-|.藤..
匪,feieei,3-|.菲匪.榧.蕜
伞,sauaan,3/\.伞..
碑,beaei,1-/.碑..
挪,neiuoh,2-|.挪..
琼,qeeiohng,2--.琼..
脂,zhaoi,1/~.脂肢.胝.鴲胑
谎,huouaang,3\~.谎..
慨,kuuaai,3\\.慨.恺.
菩,peiuh,2-|.葡菩蒲莆..酺
萄,teiaoh,2-|.桃萄..醄駣騊
狮,shaoi,1/~.狮..鰤魳
掘,jeiueh,2-|.掘抉攫.蕨橛桷.蕝芵
抄,cheiao,1-|.超抄..
岭,lioiing,3|~.岭..
晕,yioun,1|~.晕..
逮,doeaaih,4~-.逮..
砍,keaaan,3-/.砍..
掏,teiao,1-|.掏..
狄,daoih,2/~.狄..
晰,xioi,1|~.吸晰嘻.螅曦蟋蜥唏.睎
罕,huoaan,3\~.罕..
挽,weiaan,3-|.挽.菀.輓
脾,paoih,2/~.脾..腗
舟,zhaaou,1//.舟..
痴,chuei,1\-.痴..
蔡,ceiaaih,4-|.菜蔡..
剪,juaiaan,3\/.剪.翦.
脊,jueih,2\-.疾脊.瘠.鹡鶺
弓,goeong,1~-.弓..
懒,luuaan,3\\.懒.漤.
叉,choua,1~\.叉..
拐,geiuaai,3-|.拐..
喃,nioahn,2|~.男.喃.
僚,laiiaoh,2/|.僚..
捐,jeiuan,1-|.捐..
姊,zoaii,3~/..姊.
骚,sooao,1~~.骚.缫.
拓,teiaah,4-|.拓挞.榻.
歪,weaai,1-/.歪..
粘,zhuaan,1\/.粘..
柄,beiiing,3-|.柄丙.邴.
坑,keieng,1-|.坑..
陌,moiooh,4~|.陌..
窄,zhuuaai,3\\.窄..
湘,xuuiang,1\\.湘..
兆,zhauaaoh,4/\.兆..
崖,yioah,2|~.崖蚜.睚岈.
骄,jooiao,1~~.骄..
刹,shaua,1/\.杀刹..閷
鞭,beiian,1-|.鞭..
芒,meiahng,2-|.茫芒..駹
筋,jaein,1/-.筋.钅.
聘,peiiihn,4-|.聘..
钩,gaeou,1/-.钩.篝.簼
棍,geiuuhn,4-|.棍..
嚷,rioaang,3|~.嚷..
腺,xaoiaahn,4/~.腺馅..
弦,xoeiahn,2~-.弦..
焰,yuaaahn,4\/.焰.焱.
耍,sheauaa,3-/.耍..
俯,faiuu,3/|.俯..
厘,leaih,2-/.厘..
愣,luueehng,4\\..愣.
厦,sheaaah,4-/.厦..
恳,koeeen,3~-.恳垦..
饶,raoaoh,2/~.饶..
钉,daeing,1/-.钉..
寡,guuuaa,3\\.寡..
憾,huuaahn,4\\.汉汗憾悍.瀚.
摔,sheiuai,1-|.摔..
叠,douieh,2~\.叠..
惹,reiee,3-|.惹..
喻,yiouuh,4|~.遇吁喻峪.昱蜮.閾
谱,puouu,3\~.谱..
愧,kuuuiih,4\\.溃愧.愦.
煌,huauahng,2\/.煌..
徽,haaui,1//.徽..
溶,ruuohng,2\\.容溶..
坠,zhoiuiih,4~|.坠..
煞,shaoaah,4/~.煞..
巾,jioin,1|~.巾..
滥,luuaahn,4\\.滥..
洒,suuaa,3\\.洒..
堵,deiuu,3-|.堵..覩
瓷,cueih,2\-.瓷..詞餈
咒,zhiooouh,4|~.咒.胄.
姨,yoaih,2~/.姨..
棒,beiaahng,4-|.棒.蒡.
郡,joeuuhn,4~-.郡..
浴,yuuuuh,4\\.誉寓浴..鴪鴧
媚,moaeeih,4~/.妹媚..
稣,saou,1/~..稣.鯂
淮,huuuaih,2\\.怀淮..
哎,ioai,1|~.哎..
屁,poeiih,4~-.屁譬.甓.鷿
漆,quui,1\\.漆沏柒..
淫,yuuihn,2\\.淫寅..
巢,chooaoh,2~~.巢..鄛
吩,fioen,1|~.吩..
撰,zheiuaahn,4-|.撰..蒃
啸,xioiaaoh,4|~.啸..
滞,zhuuiih,4\\.治滞窒.忮.
玫,meeeih,2--.玫..
硕,sheauooh,4-/.硕..碩
钓,daeiaaoh,4/-.钓.铫铞.
蝶,dioieh,2|~.蝶.喋蹀.蜨眣
膝,xaoi,1/~.夕膝..饻
姚,yoaaoh,2~/.姚..
茂,meiaaoh,4-|.茂.懋耄.鄚芼
躯,qaiu,1/|.躯..軀
吏,leiiih,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
猿,yaouahn,2/~.猿..
寨,zhuuaaih,4\\.寨..
恕,shoauuh,4~/.恕..
渠,quuuh,2\\.渠..
戚,qeai,1-/.戚..碕
辰,cheaehn,2-/.辰..
舶,baaoh,2//.舶..艊
颁,bauan,1/\.颁..頒
惶,huuuahng,2\\.惶.潢湟.
狐,haouh,2/~.狐.斛猢.魱
讽,fuoeeng,3\~.讽..
笨,baeeehn,4/-.笨..
袍,puoaoh,2\~.袍..
嘲,chioaoh,2|~.嘲.晁.
啡,fioei,1|~.啡..
泼,puuo,1\\.泼..
衔,xaaiahn,2//.衔舷..銜
倦,jaiuaahn,4/|.倦..
涵,huuahn,2\\.寒涵..
雀,qiaueeh,4|/.雀..
旬,xaouhn,2/~.旬.鲟郇.
僵,jaiiang,1/|.僵..
撕,seii,1-|.斯撕..
肢,zhaoi,1/~.脂肢.胝.鴲胑
垄,leaoong,3-/.垄..
夷,yeoih,2-~.夷..鴺
逸,yaoiih,4/~.逸臆肄..鮨
茅,meiaoh,2-|.茅.髦茆.髳鶜
侨,qaiiaoh,2/|.侨..
舆,yaiuh,2/|.舆.臾舁.輿
窑,yuuaoh,2\\.窑..窯
涅,nuuieeh,4\\.涅..
蒲,peiuh,2-|.葡菩蒲莆..酺
谦,quoian,1\~.谦..
杭,heiahng,2-|.杭..
噢,ioo,1|~..噢喔.
弊,buaiih,4\/.弊敝..鷩
勋,xioun,1|~.勋.曛.矄
刮,gaeua,1/-.刮.鸹.鴰
郊,jueiao,1\-.交郊..
凄,quei,1\-.凄..諆
捧,peieeng,3-|.捧..
浸,juuiihn,4\\.浸..
砖,zheauan,1-/.砖..磚
鼎,dioiing,3|~.鼎..
篮,laeahn,2/-.篮.镧.籣
蒸,zheieng,1-|.蒸..
饼,baoiing,3/~.饼..
亩,mueuu,3\-.亩..
肾,shiieehn,4||.肾..
陡,doioou,3~|.陡..
爪,zhaaaao,3//.爪..
兔,taouuh,4/~.兔..
殷,yaain,1//.殷..
贞,zhieen,1|-.贞..貞
荐,jeiiaahn,4-|.荐槛.楗.薦鍳趝
哑,yioaa,3|~.哑..
炭,tioaahn,4|~.叹炭..
坟,feiehn,2-|.坟焚.棼.鼖
眨,zhioaa,3|~.眨..
搏,beioh,2-|.博勃搏.鹁.茀駮豰
咳,hioai,1|~.咳.嗨.
拢,leioong,3-|.拢.垅.
舅,jaiiuuh,4/|.舅臼.僦.
昧,mioeeih,4|~.昧..眊跊
擅,sheiaahn,4-|.擅..
爽,sheauaang,3-/.爽..
咖,kioa,1|~.咖喀.咔.
搁,geie,1-|.哥歌搁.圪.
禄,luouuh,4\~.禄..祿
雌,cieih,2|-.雌..鴜飺
哨,shioaaoh,4|~.哨..
巩,geioong,3-|.巩拱汞..鞏
绢,joouaahn,4~~.绢..絹
螺,liouoh,2|~.罗逻螺..羅邏
裹,gueuoo,3\-.裹..
昔,xeii,1-|.西析昔熙.熹皙醯樨菥.
轩,xeouan,1-~.轩..
谬,muoiuuh,4\~.谬..
谍,duoieh,2\~.谍..褋
龟,gaoui,1/~.龟.鲑.膭鮭
媳,xoaih,2~/.媳..
姜,juaiang,1\/.姜..
瞎,xioia,1|~.瞎虾..蝦
冤,yuouan,1\~.冤..
鸦,yeoa,1-~.鸦..鴉
蓬,peiehng,2-|.彭蓬棚.堋.芃髼鬅
巷,xeiiaahng,4-|.项巷橡..項
琳,leeihn,2--.琳..
栽,zeiai,1-|.栽哉..
沾,zhuuan,1\\.沾..
诈,zhuoaah,4\~.诈..
斋,zhueai,1\-.斋..齋
瞒,mioahn,2|~.瞒..瞞
彪,bieiao,1|-.彪..
厄,eaeeh,4-/.厄..礘
咨,zuei,1\-.资姿咨.粢.資秶諮
纺,fooaang,3~~.纺..
罐,gaeuaahn,4/-.罐..罆
桶,teioong,3-|.桶捅..
壤,reiaang,3-|.壤攘..
糕,guaao,1\/.糕羔..
颂,sauoohng,4/\.颂..頌
膨,paoehng,2/~.朋鹏膨..鵬
谐,xuoieh,2\~.谐..
垒,loueei,3~\.垒..絫
咕,giou,1|~.咕.呱蛄.
隙,xoiiih,4~|.隙..
辣,lueaah,4\-.辣.瘌.
绑,booaang,3~~.绑..
宠,chuuoong,3\\.宠..
嘿,hioei,1|~.黑嘿..黒
兑,duauiih,4\/.兑..
霉,meueih,2-\.霉..
挫,ceiuooh,4-|.措挫..
稽,jaei,1/-.积稽箕.嵇犄笄.積稘
辐,feouh,2-~.辐..
乞,qaeii,3/-.乞..簯
纱,shooa,1~~.纱..紗繺
裙,quouhn,2\~.裙..
嘻,xioi,1|~.吸晰嘻.螅曦蟋蜥唏.睎
哇,wioahh,5|~.哇..
绣,xooiuuh,4~~.绣..
杖,zheiaahng,4-|.杖..
塘,teiahng,2-|.塘搪.醣樘.
衍,yaaaan,3//.衍..
轴,zheoouh,2-~.轴..
攀,peian,1-|.攀..
膊,baooh,2/~.脖膊..
譬,poeiih,4~-.屁譬.甓.鷿
斌,buein,1\-.斌..訜
祈,quoih,2\~.祈祁.祺.祇禥
踢,tioi,1|~.踢剔..
肆,seiiih,4-|.寺肆..蕼
坎,keiaan,3-|.坎..轗
轿,jeoiaaoh,4-~.较轿..
棚,peiehng,2-|.彭蓬棚.堋.芃髼鬅
泣,quuiih,4\\.汽泣.汔.
屡,lyoeuu,3~-.履屡..
躁,zioaaoh,4|~.躁噪.唣.
邱,qaiiu,1/|.丘邱..
凰,haouahng,2/~.凰.鳇.鰉
溢,yuuiih,4\\.忆溢.悒怿.
椎,cheiuih,2-|.椎捶.槌棰.菙
砸,zeaah,2-/.砸..
趟,teiaahng,4-|.趟..
帘,luuiahn,2\\.怜帘涟.濂.
帆,fioan,1|~.帆.幡.
栖,qeii,1-|.期欺栖.萋桤.
窜,cuuuaahn,4\\.窜..竄
丸,waoahn,2/~.丸..
斩,zheoaan,3-~.斩..盞
堤,deii,1-|.堤..鞮
塌,teia,1-|.塌..
贩,fioaahn,4|~.贩.畈.販
厢,xeaiang,1-/.厢..
掀,xeiian,1-|.掀.酰莶.
喀,kioa,1|~.咖喀.咔.
乖,gaeuai,1/-.乖..
谜,muoih,2\~.谜.祢.罙禰
捏,neiie,1-|.捏..
阎,yuiahn,2\|.阎.闫.
滨,buuin,1\\.宾滨濒..賓
虏,lieuu,3|-.虏卤..虜
匙,shioihh,5|~.匙..
芦,leiuh,2-|.芦.栌垆.蘆
苹,peiihng,2-|.萍苹坪.枰.聠蓱
卸,xaeieeh,4/-.卸..缷
沼,zhuuaao,3\\.沼..
钥,yaeaaoh,4/-.钥..籥箹
株,zheiu,1-|.株.茱槠.藷
祷,duoaao,3\~.祷..禱
剖,pueou,1\-.剖..
熙,xeii,1-|.西析昔熙.熹皙醯樨菥.
哗,hiouah,2|~.哗..螖
劈,poei,1~-.劈..
怯,quuieeh,4\\.窃怯.惬.
棠,tiuahng,2|\.堂棠..
胳,gaoe,1/~.胳..
桩,zheiuang,1-|.桩..莊荘
瑰,geeui,1--.规瑰..規鬶
娱,yoauh,2~/.娱.妤.
娶,qeiuu,3-|.取娶..
沫,muuooh,4\\.漠沫寞..
嗓,sioaang,3|~.嗓..
蹲,dioun,1|~.吨蹲..蹾
焚,feiehn,2-|.坟焚.棼.鼖
淘,tuuaoh,2\\.淘.洮.
嫩,noaeehn,4~/.嫩..
韵,yueuuhn,4\-.韵..韻
衬,chuoeehn,4\~.衬.谶.
匈,xaoiong,1/~.胸匈..
钧,jaeun,1/-.钧.筠.
竖,shiiuuh,4||.竖..
峻,jiouuhn,4|~.峻..蜠
豹,bauaaoh,4/\.豹..
捞,leiao,1-|.捞..
菊,jeiuh,2-|.菊.橘.駶輂
鄙,bioii,3|~.鄙.吡.
魄,paiooh,4/|.迫魄..
兜,daiou,1/|.兜..
哄,hioong,1|~.哄..
颖,yaoiing,3/~.颖.颍.
镑,baeaahng,4/-.镑..稖
屑,xoeieeh,4~-.屑..
蚁,yioii,3|~.蚁..螘顗蟻
壶,heiuh,2-|.胡壶葫.鹕槲觳醐.縠
怡,yuuih,2\\.宜沂.怡.
渗,shuueehn,4\\.慎渗..
秃,taeu,1/-.秃..禿
迦,joaia,1~/.加.迦袈.
旱,hioaahn,4|~.旱..睅
哟,yioo,1|~.哟.唷.
咸,xeaiahn,2-/.咸..
焉,yeian,1-|.焉.菸鄢.醃
谴,quoiaan,3\~.谴..
宛,wuuaan,3\\.宛惋..
稻,daeaaoh,4/-.稻..稲
铸,zhaeuuh,4/-.筑铸.箸.築
锻,daeuaahn,4/-.锻..
伽,gaia,1/|..伽.
詹,zhaoan,1/~.詹..鳣
毙,beoiih,4-~.毕毙毖..
恍,huuuaang,3\\.恍..
贬,bioiaan,3|~.贬..覵
烛,zhuauh,2\/.烛..
骇,hooaaih,4~~.骇..
芯,xeiin,1-|.薪芯.馨.
汁,zhuui,1\\.汁..
桓,heiuahn,2-|.桓.萑鬟.轘萈
坊,feiang,1-|.芳坊.枋.
驴,lyoouh,2~~.驴..
朽,xeiiuu,3-|.朽..
靖,jueiihng,4\-.竟竞净靖痉..競竸
佣,yaiong,1/|.佣..
汝,ruuuu,3\\.汝..
碌,leauuh,4-/.碌..
迄,qaeiih,4/-.气迄.憩.
冀,jieiih,4|-.冀..茍
荆,jeiing,1-|.荆茎兢.菁.驚莖荊
崔,cioui,1|~.崔..
雁,yeaaahn,4-/.厌雁砚.赝餍.顑饜贋
绅,shooen,1~~.绅..紳
珊,sheean,1--.珊..
榜,beiaang,3-|.榜..
诵,suooohng,4\~.讼诵..
傍,baiaahng,4/|.傍..
彦,yueaahn,4\-.彦..讞讌諺
醇,cheiuhn,2-|.醇.莼.醕
笛,daeih,2/-.敌笛..篴
禽,qauihn,2/\.禽..鈙鈂
勿,waouuh,4/~.务勿..
娟,joauan,1~/.娟..
瞄,mioiaoh,2|~.瞄..
幢,zhiouaahng,4|~.幢..
寇,kuuoouh,4\\.寇..
睹,diouu,3|~.赌睹..
贿,hiouiih,4|~.贿晦.喙蟪.翙賄
踩,cioaai,3|~.踩睬..
霆,teuihng,2-\..霆.
呜,wiou,1|~.呜..趶螐
拱,geioong,3-|.巩拱汞..鞏
妃,foaei,1~/.飞.妃.飛
蔑,meiieeh,4-|.蔑..
谕,yuouuh,4\~.裕.谕.
缚,foouuh,4~~.缚.驸.縛
诡,guouii,3\~.诡..祪
篷,paeehng,2/-.篷..
淹,yuuan,1\\.淹.湮恹.
腕,waoaahn,4/~.腕..脕
煮,zheiuu,3-|.煮拄..
倩,qaiiaahn,4/|..倩.
卒,cueuuh,4\-.卒..
勘,keian,1-|.堪勘.戡.
馨,xeiin,1-|.薪芯.馨.
逗,deioouh,4-|.豆逗..荳
甸,daoiaahn,4/~.甸..
贱,jioiaahn,4|~.见践贱.踺.見踐瞷
炒,chuaaao,3\/.炒..
灿,cuaaahn,4\/.灿..
敞,chiuaang,3|\.敞.氅.
蜡,lioaah,4|~.蜡..蠟
囚,qioiuh,2|~.囚.虬蝤赇.虯蛷
栗,leiiih,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
辜,geiu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
垫,deiiaahn,4-|.垫.坫.
妒,doauuh,4~/.妒..
魁,kaiuih,2/|.魁..
谣,yuoaoh,2\~.谣..
寞,muuooh,4\\.漠沫寞..
蜀,shiouu,3|~.署蜀暑曙..
甩,shaouaai,3/~.甩..
涯,yuuah,2\\.涯..
枕,zheieen,3-|.枕..
丐,geiaaih,4-|.概.丐.蓋葢
泳,yuuoong,3\\.涌泳..
奎,keauih,2-/.奎..
泌,buuiih,4\\.泌.愎濞滗.
逾,yauuh,2/\.余逾俞.觎.餘貗釪
叮,dioing,1|~.盯叮.町.虰
黛,daiaaih,4/|.代袋贷.黛岱.貸
燥,zuaaaoh,4\/.燥灶..
掷,zheiiih,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
藉,jeiih,2-|.极吉藉棘.楫蒺蕺.鞊趌
枢,sheiu,1-|.枢梳蔬抒.菽摅.輸
憎,zuueng,1\\.憎..
鲸,jaoing,1/~.鲸.腈.鯨
弘,hoeohng,2~-.弘..
倚,yaiii,3/|.倚..
侮,waiuu,3/|.伍侮.仵.
藩,feian,1-|.藩.蕃.轓
拂,feiuh,2-|.扶拂.芙苻茯菔莩桴.葍輻
鹤,huoeeh,4\~.鹤褐..隺鶴
蚀,shaoih,2/~.蚀.鲥.
浆,jueiang,1\-.将浆..螀
芙,feiuh,2-|.扶拂.芙苻茯菔莩桴.葍輻
垃,leia,1-|.拉垃..
