的,daihe,5/|.的..
胀,zhaoyang,4/~.胀..脹
扯,cheive,3-|.扯..
禧,xuovi,3\~..禧.
辽,loiriao,2~|.辽..
抹,meiwa,1-|.抹..
筒,taevong,3/-.筒..
棋,qeiri,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
裤,kuoyu,4\~.裤..袴褲
唉,ioyai,4|~.唉.暧嗌.賹
朴,peivu,3-|.朴埔..
咐,fioyu,4|~.赋咐.蝮赙.賦
孕,yoayun,4~/.孕..
誓,sheiyi,4-|.事世士势誓逝拭柿.螫贳.
喉,hiorou,2|~.喉.骺.睺
妄,wueyang,4\-.望忘妄..
拘,jeiwu,1-|.拘鞠.掬趄鞫苴椐.
链,laeyian,4/-.链..稴
驰,chori,2~~.驰..
栏,leiran,2-|.蓝拦栏婪..蘭葻藍
逝,sheiyi,4-|.事世士势誓逝拭柿.螫贳.
窃,quyie,4\\.窃怯.惬.
艳,yeyan,4--.艳..
臭,chaiyou,4/|.臭..
纤,xowian,1~~.纤..纖縿
玑,jewi,1--.击.玑.
棵,keiwe,1-|.柯棵苛..薖軻
趁,cheiyen,4-|.趁.榇.
匠,jeayiang,4-/.匠..
盈,yoaring,2~/.盈..
翁,wauweng,1/\.翁..鹟鶲
愁,chaerou,2/-.筹愁稠..籌
瞬,shioyun,4|~.瞬..
婴,yiowing,1|~.婴.鹦嘤罂.譻
孝,xeiyiao,4-|.校孝..
颈,jouving,3~\.颈.刭.
倘,taivang,3/|.躺倘.傥.
浙,zhuye,4\\.浙..
谅,luoyiang,4\~.谅..
蔽,beiyi,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
畅,chioyang,4|~.唱畅..
赠,zioyeng,4|~.赠..贈
妮,noawi,1~/.妮..
莎,sheiwa,1-|.莎..蔱
尉,woeyei,4~-.慰尉..
冻,dueyong,4\-.冻..詷
跪,gioyui,4|~.贵跪.炅刿.貴瞆趹
闯,chuivuang,3\|.闯..
葡,peiru,2-|.葡菩蒲莆..酺
後,hayou,4//.后.後逅.郈
厨,chearu,2-/.厨..豠
鸭,yiowa,1|~.鸭..鴨
颠,deiwian,1-|.颠掂..顛
遮,zhuewe,1\-.遮..
谊,yuoyi,4\~.议译谊诣..袣褹
圳,zheiyen,4-|.振.圳.
吁,yioyu,4|~.遇吁喻峪.昱蜮.閾
仑,laurun,2/\.仑..
辟,boeyi,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
瘤,lueriu,2\-.刘瘤.旒.
嫂,soavao,3~/.嫂..
陀,toiruo,2~|.陀..陁迆
框,keiyuang,4-|.框.圹.
谭,tuoran,2\~.谈谭..
亨,hueweng,1\-.亨..
钦,qaewin,1/-.钦..
庸,yuewong,1\-.庸雍痈.饔壅.鄘
歉,quayian,4\/.歉..
芝,zheiwi,1-|.支枝芝.栀.鳷
吼,hiovou,3|~.吼..
甫,feivu,3-|.抚甫.拊.輔郙
衫,shuowan,1\~.衫..
摊,teiwan,1-|.摊坍..
宴,yuyan,4\\.宴.滟.
嘱,zhiovu,3|~.嘱瞩..矚
衷,zhuewong,1\-.衷..螤
娇,joawiao,1~/.娇.姣.
陕,shoivan,3~|.陕..陝
矩,jaevu,3/-.矩.榘.筥
浦,puvu,3\\.浦.溥.
讶,yuoya,4\~.讶..
耸,sauvong,3/\.耸怂..
裸,luovuo,3\~.裸..
碧,beyi,4--.碧..
摧,ceiwui,1-|.摧.榱.
薪,xeiwin,1-|.薪芯.馨.
淋,lurin,2\\.淋..
耻,cheivi,3-|.耻.豉.
胶,jaowiao,1/~.胶.鲛.膠膲
屠,toeru,2~-.屠..鷵
鹅,aere,2/-.鹅.锇.鵝
饥,jaowi,1/~.几肌饥..觭
盼,pioyan,4|~.盼畔..眫
脖,baoro,2/~.脖膊..
虹,hiorong,2|~.虹..
翠,couyui,4~\.翠..翆
崩,bioweng,1|~.崩.嘣.
账,zhioyang,4|~.帐账.嶂幛.瞕
萍,peiring,2-|.萍苹坪.枰.聠蓱
逢,faoreng,2/~.逢..
赚,zhioyuan,4|~.赚.啭.
撑,cheiweng,1-|.撑.柽.赪頳
翔,xuariang,2\/.翔..
倡,chaiyang,4/|.倡..
绵,morian,2~~.绵..綿
猴,haorou,2/~.猴..腄
枯,keiwu,1-|.枯.堀.
巫,weiwu,1-|.巫.圬.
昭,zhiowao,1|~.昭..鼂
怔,zhuweng,1\\.怔..
渊,yuwuan,1\\.渊..鹓
凑,cueyou,4\-.凑..
溪,xuwi,1\\.惜溪汐.淅浠穸.窸鸂
蠢,chevun,3--.蠢..
禅,chuoran,2\~.谗.禅.禪
阐,chuivan,3\|.阐..
旺,wioyang,4|~.旺..盳
寓,yuyu,4\\.誉寓浴..鴪鴧
藤,teireng,2-|.藤..
匪,feivei,3-|.菲匪.榧.蕜
伞,sauvan,3/\.伞..
碑,beawei,1-/.碑..
挪,neiruo,2-|.挪..
琼,qeriong,2--.琼..
脂,zhaowi,1/~.脂肢.胝.鴲胑
谎,huovuang,3\~.谎..
慨,kuvai,3\\.慨.恺.
菩,peiru,2-|.葡菩蒲莆..酺
萄,teirao,2-|.桃萄..醄駣騊
狮,shaowi,1/~.狮..鰤魳
掘,jeirue,2-|.掘抉攫.蕨橛桷.蕝芵
抄,cheiwao,1-|.超抄..
岭,lioving,3|~.岭..
晕,yiowun,1|~.晕..
逮,doeyai,4~-.逮..
砍,keavan,3-/.砍..
掏,teiwao,1-|.掏..
狄,daori,2/~.狄..
晰,xiowi,1|~.吸晰嘻.螅曦蟋蜥唏.睎
罕,huovan,3\~.罕..
挽,weivan,3-|.挽.菀.輓
脾,paori,2/~.脾..腗
舟,zhawou,1//.舟..
痴,chuewi,1\-.痴..
蔡,ceiyai,4-|.菜蔡..
剪,juavian,3\/.剪.翦.
脊,jueri,2\-.疾脊.瘠.鹡鶺
弓,goewong,1~-.弓..
懒,luvan,3\\.懒.漤.
叉,chouwa,1~\.叉..
拐,geivuai,3-|.拐..
喃,nioran,2|~.男.喃.
僚,lairiao,2/|.僚..
捐,jeiwuan,1-|.捐..
姊,zoavi,3~/..姊.
骚,sowao,1~~.骚.缫.
拓,teiya,4-|.拓挞.榻.
歪,weawai,1-/.歪..
粘,zhuawan,1\/.粘..
柄,beiving,3-|.柄丙.邴.
坑,keiweng,1-|.坑..
陌,moiyo,4~|.陌..
窄,zhuvai,3\\.窄..
湘,xuwiang,1\\.湘..
兆,zhauyao,4/\.兆..
崖,yiora,2|~.崖蚜.睚岈.
骄,jowiao,1~~.骄..
刹,shauwa,1/\.杀刹..閷
鞭,beiwian,1-|.鞭..
芒,meirang,2-|.茫芒..駹
筋,jaewin,1/-.筋.钅.
聘,peiyin,4-|.聘..
钩,gaewou,1/-.钩.篝.簼
棍,geiyun,4-|.棍..
嚷,riovang,3|~.嚷..
腺,xaoyian,4/~.腺馅..
弦,xoerian,2~-.弦..
焰,yuayan,4\/.焰.焱.
耍,sheavua,3-/.耍..
俯,faivu,3/|.俯..
厘,leari,2-/.厘..
愣,luyeng,4\\..愣.
厦,sheaya,4-/.厦..
恳,koeven,3~-.恳垦..
饶,raorao,2/~.饶..
钉,daewing,1/-.钉..
寡,guvua,3\\.寡..
憾,huyan,4\\.汉汗憾悍.瀚.
摔,sheiwuai,1-|.摔..
叠,dourie,2~\.叠..
惹,reive,3-|.惹..
喻,yioyu,4|~.遇吁喻峪.昱蜮.閾
谱,puovu,3\~.谱..
愧,kuyui,4\\.溃愧.愦.
煌,huaruang,2\/.煌..
徽,hawui,1//.徽..
溶,rurong,2\\.容溶..
坠,zhoiyui,4~|.坠..
煞,shaoya,4/~.煞..
巾,jiowin,1|~.巾..
滥,luyan,4\\.滥..
洒,suva,3\\.洒..
堵,deivu,3-|.堵..覩
瓷,cueri,2\-.瓷..詞餈
咒,zhioyou,4|~.咒.胄.
姨,yoari,2~/.姨..
棒,beiyang,4-|.棒.蒡.
郡,joeyun,4~-.郡..
浴,yuyu,4\\.誉寓浴..鴪鴧
媚,moayei,4~/.妹媚..
稣,saowu,1/~..稣.鯂
淮,huruai,2\\.怀淮..
哎,iowai,1|~.哎..
屁,poeyi,4~-.屁譬.甓.鷿
漆,quwi,1\\.漆沏柒..
淫,yurin,2\\.淫寅..
巢,chorao,2~~.巢..鄛
吩,fiowen,1|~.吩..
撰,zheiyuan,4-|.撰..蒃
啸,xioyiao,4|~.啸..
滞,zhuyi,4\\.治滞窒.忮.
玫,merei,2--.玫..
硕,sheayuo,4-/.硕..碩
钓,daeyiao,4/-.钓.铫铞.
蝶,diorie,2|~.蝶.喋蹀.蜨眣
膝,xaowi,1/~.夕膝..饻
姚,yoarao,2~/.姚..
茂,meiyao,4-|.茂.懋耄.鄚芼
躯,qaiwu,1/|.躯..軀
吏,leiyi,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
猿,yaoruan,2/~.猿..
寨,zhuyai,4\\.寨..
恕,shoayu,4~/.恕..
渠,quru,2\\.渠..
戚,qeawi,1-/.戚..碕
辰,chearen,2-/.辰..
舶,baro,2//.舶..艊
颁,bauwan,1/\.颁..頒
惶,huruang,2\\.惶.潢湟.
狐,haoru,2/~.狐.斛猢.魱
讽,fuoveng,3\~.讽..
笨,baeyen,4/-.笨..
袍,puorao,2\~.袍..
嘲,chiorao,2|~.嘲.晁.
啡,fiowei,1|~.啡..
泼,puwo,1\\.泼..
衔,xarian,2//.衔舷..銜
倦,jaiyuan,4/|.倦..
涵,huran,2\\.寒涵..
雀,qiayue,4|/.雀..
旬,xaorun,2/~.旬.鲟郇.
僵,jaiwiang,1/|.僵..
撕,seiwi,1-|.斯撕..
肢,zhaowi,1/~.脂肢.胝.鴲胑
垄,leavong,3-/.垄..
夷,yeori,2-~.夷..鴺
逸,yaoyi,4/~.逸臆肄..鮨
茅,meirao,2-|.茅.髦茆.髳鶜
侨,qairiao,2/|.侨..
舆,yairu,2/|.舆.臾舁.輿
窑,yurao,2\\.窑..窯
涅,nuyie,4\\.涅..
蒲,peiru,2-|.葡菩蒲莆..酺
谦,quowian,1\~.谦..
杭,heirang,2-|.杭..
噢,iowo,1|~..噢喔.
弊,buayi,4\/.弊敝..鷩
勋,xiowun,1|~.勋.曛.矄
刮,gaewua,1/-.刮.鸹.鴰
郊,juewiao,1\-.交郊..
凄,quewi,1\-.凄..諆
捧,peiveng,3-|.捧..
浸,juyin,4\\.浸..
砖,zheawuan,1-/.砖..磚
鼎,dioving,3|~.鼎..
篮,laeran,2/-.篮.镧.籣
蒸,zheiweng,1-|.蒸..
饼,baoving,3/~.饼..
亩,muevu,3\-.亩..
肾,shiyen,4||.肾..
陡,doivou,3~|.陡..
爪,zhavao,3//.爪..
兔,taoyu,4/~.兔..
殷,yawin,1//.殷..
贞,zhiewen,1|-.贞..貞
荐,jeiyian,4-|.荐槛.楗.薦鍳趝
哑,yiova,3|~.哑..
炭,tioyan,4|~.叹炭..
坟,feiren,2-|.坟焚.棼.鼖
眨,zhiova,3|~.眨..
搏,beiro,2-|.博勃搏.鹁.茀駮豰
咳,hiowai,1|~.咳.嗨.
拢,leivong,3-|.拢.垅.
舅,jaiyiu,4/|.舅臼.僦.
昧,mioyei,4|~.昧..眊跊
擅,sheiyan,4-|.擅..
爽,sheavuang,3-/.爽..
咖,kiowa,1|~.咖喀.咔.
搁,geiwe,1-|.哥歌搁.圪.
禄,luoyu,4\~.禄..祿
雌,cieri,2|-.雌..鴜飺
哨,shioyao,4|~.哨..
巩,geivong,3-|.巩拱汞..鞏
绢,joyuan,4~~.绢..絹
螺,lioruo,2|~.罗逻螺..羅邏
裹,guevuo,3\-.裹..
昔,xeiwi,1-|.西析昔熙.熹皙醯樨菥.
轩,xeowuan,1-~.轩..
谬,muoyiu,4\~.谬..
谍,duorie,2\~.谍..褋
龟,gaowui,1/~.龟.鲑.膭鮭
媳,xoari,2~/.媳..
姜,juawiang,1\/.姜..
瞎,xiowia,1|~.瞎虾..蝦
冤,yuowuan,1\~.冤..
鸦,yeowa,1-~.鸦..鴉
蓬,peireng,2-|.彭蓬棚.堋.芃髼鬅
巷,xeiyiang,4-|.项巷橡..項
琳,lerin,2--.琳..
栽,zeiwai,1-|.栽哉..
沾,zhuwan,1\\.沾..
诈,zhuoya,4\~.诈..
斋,zhuewai,1\-.斋..齋
瞒,mioran,2|~.瞒..瞞
彪,biewiao,1|-.彪..
厄,eaye,4-/.厄..礘
咨,zuewi,1\-.资姿咨.粢.資秶諮
纺,fovang,3~~.纺..
罐,gaeyuan,4/-.罐..罆
桶,teivong,3-|.桶捅..
壤,reivang,3-|.壤攘..
糕,guawao,1\/.糕羔..
颂,sauyong,4/\.颂..頌
膨,paoreng,2/~.朋鹏膨..鵬
谐,xuorie,2\~.谐..
垒,louvei,3~\.垒..絫
咕,giowu,1|~.咕.呱蛄.
隙,xoiyi,4~|.隙..
辣,lueya,4\-.辣.瘌.
绑,bovang,3~~.绑..
宠,chuvong,3\\.宠..
嘿,hiowei,1|~.黑嘿..黒
兑,duayui,4\/.兑..
霉,meurei,2-\.霉..
挫,ceiyuo,4-|.措挫..
稽,jaewi,1/-.积稽箕.嵇犄笄.積稘
辐,feoru,2-~.辐..
乞,qaevi,3/-.乞..簯
纱,showa,1~~.纱..紗繺
裙,quorun,2\~.裙..
嘻,xiowi,1|~.吸晰嘻.螅曦蟋蜥唏.睎
哇,wioha,5|~.哇..
绣,xoyiu,4~~.绣..
杖,zheiyang,4-|.杖..
塘,teirang,2-|.塘搪.醣樘.
衍,yavan,3//.衍..
轴,zheorou,2-~.轴..
攀,peiwan,1-|.攀..
膊,baoro,2/~.脖膊..
譬,poeyi,4~-.屁譬.甓.鷿
斌,buewin,1\-.斌..訜
祈,quori,2\~.祈祁.祺.祇禥
踢,tiowi,1|~.踢剔..
肆,seiyi,4-|.寺肆..蕼
坎,keivan,3-|.坎..轗
轿,jeoyiao,4-~.较轿..
棚,peireng,2-|.彭蓬棚.堋.芃髼鬅
泣,quyi,4\\.汽泣.汔.
屡,lyoevu,3~-.履屡..
躁,zioyao,4|~.躁噪.唣.
邱,qaiwiu,1/|.丘邱..
凰,haoruang,2/~.凰.鳇.鰉
溢,yuyi,4\\.忆溢.悒怿.
椎,cheirui,2-|.椎捶.槌棰.菙
砸,zeara,2-/.砸..
趟,teiyang,4-|.趟..
帘,lurian,2\\.怜帘涟.濂.
帆,fiowan,1|~.帆.幡.
栖,qeiwi,1-|.期欺栖.萋桤.
窜,cuyuan,4\\.窜..竄
丸,waoran,2/~.丸..
斩,zheovan,3-~.斩..盞
堤,deiwi,1-|.堤..鞮
塌,teiwa,1-|.塌..
贩,fioyan,4|~.贩.畈.販
厢,xeawiang,1-/.厢..
掀,xeiwian,1-|.掀.酰莶.
喀,kiowa,1|~.咖喀.咔.
乖,gaewuai,1/-.乖..
谜,muori,2\~.谜.祢.罙禰
捏,neiwie,1-|.捏..
阎,yuiran,2\|.阎.闫.
滨,buwin,1\\.宾滨濒..賓
虏,lievu,3|-.虏卤..虜
匙,shiohi,5|~.匙..
芦,leiru,2-|.芦.栌垆.蘆
苹,peiring,2-|.萍苹坪.枰.聠蓱
卸,xaeyie,4/-.卸..缷
沼,zhuvao,3\\.沼..
钥,yaeyao,4/-.钥..籥箹
株,zheiwu,1-|.株.茱槠.藷
祷,duovao,3\~.祷..禱
剖,puewou,1\-.剖..
熙,xeiwi,1-|.西析昔熙.熹皙醯樨菥.
哗,hiorua,2|~.哗..螖
劈,poewi,1~-.劈..
怯,quyie,4\\.窃怯.惬.
棠,tiurang,2|\.堂棠..
胳,gaowe,1/~.胳..
桩,zheiwuang,1-|.桩..莊荘
瑰,gewui,1--.规瑰..規鬶
娱,yoaru,2~/.娱.妤.
娶,qeivu,3-|.取娶..
沫,muyo,4\\.漠沫寞..
嗓,siovang,3|~.嗓..
蹲,diowun,1|~.吨蹲..蹾
焚,feiren,2-|.坟焚.棼.鼖
淘,turao,2\\.淘.洮.
嫩,noayen,4~/.嫩..
韵,yueyun,4\-.韵..韻
衬,chuoyen,4\~.衬.谶.
匈,xaowiong,1/~.胸匈..
钧,jaewun,1/-.钧.筠.
竖,shiyu,4||.竖..
峻,jioyun,4|~.峻..蜠
豹,bauyao,4/\.豹..
捞,leiwao,1-|.捞..
菊,jeiru,2-|.菊.橘.駶輂
鄙,biovi,3|~.鄙.吡.
魄,paiyo,4/|.迫魄..
兜,daiwou,1/|.兜..
哄,hiowong,1|~.哄..
颖,yaoving,3/~.颖.颍.
镑,baeyang,4/-.镑..稖
屑,xoeyie,4~-.屑..
蚁,yiovi,3|~.蚁..螘顗蟻
壶,heiru,2-|.胡壶葫.鹕槲觳醐.縠
怡,yuri,2\\.宜沂.怡.
渗,shuyen,4\\.慎渗..
秃,taewu,1/-.秃..禿
迦,joawia,1~/.加.迦袈.
旱,hioyan,4|~.旱..睅
哟,yiowo,1|~.哟.唷.
咸,xearian,2-/.咸..
焉,yeiwan,1-|.焉.菸鄢.醃
谴,quovian,3\~.谴..
宛,wuvan,3\\.宛惋..
稻,daeyao,4/-.稻..稲
铸,zhaeyu,4/-.筑铸.箸.築
锻,daeyuan,4/-.锻..
伽,gaiwa,1/|..伽.
詹,zhaowan,1/~.詹..鳣
毙,beoyi,4-~.毕毙毖..
恍,huvuang,3\\.恍..
贬,biovian,3|~.贬..覵
烛,zhuaru,2\/.烛..
骇,hoyai,4~~.骇..
芯,xeiwin,1-|.薪芯.馨.
汁,zhuwi,1\\.汁..
桓,heiruan,2-|.桓.萑鬟.轘萈
坊,feiwang,1-|.芳坊.枋.
驴,lyoru,2~~.驴..
朽,xeiviu,3-|.朽..
靖,jueying,4\-.竟竞净靖痉..競竸
佣,yaiwong,1/|.佣..
汝,ruvu,3\\.汝..
碌,leayu,4-/.碌..
迄,qaeyi,4/-.气迄.憩.
冀,jieyi,4|-.冀..茍
荆,jeiwing,1-|.荆茎兢.菁.驚莖荊
崔,ciowui,1|~.崔..
雁,yeayan,4-/.厌雁砚.赝餍.顑饜贋
绅,showen,1~~.绅..紳
珊,shewan,1--.珊..
榜,beivang,3-|.榜..
诵,suoyong,4\~.讼诵..
傍,baiyang,4/|.傍..
彦,yueyan,4\-.彦..讞讌諺
醇,cheirun,2-|.醇.莼.醕
笛,daeri,2/-.敌笛..篴
禽,qaurin,2/\.禽..鈙鈂
勿,waoyu,4/~.务勿..
娟,joawuan,1~/.娟..
瞄,mioriao,2|~.瞄..
幢,zhioyuang,4|~.幢..
寇,kuyou,4\\.寇..
睹,diovu,3|~.赌睹..
贿,hioyui,4|~.贿晦.喙蟪.翙賄
踩,ciovai,3|~.踩睬..
霆,teuring,2-\..霆.
呜,wiowu,1|~.呜..趶螐
拱,geivong,3-|.巩拱汞..鞏
妃,foawei,1~/.飞.妃.飛
蔑,meiyie,4-|.蔑..
谕,yuoyu,4\~.裕.谕.
缚,foyu,4~~.缚.驸.縛
诡,guovui,3\~.诡..祪
篷,paereng,2/-.篷..
淹,yuwan,1\\.淹.湮恹.
腕,waoyan,4/~.腕..脕
煮,zheivu,3-|.煮拄..
倩,qaiyian,4/|..倩.
卒,cueyu,4\-.卒..
勘,keiwan,1-|.堪勘.戡.
馨,xeiwin,1-|.薪芯.馨.
逗,deiyou,4-|.豆逗..荳
甸,daoyian,4/~.甸..
贱,jioyian,4|~.见践贱.踺.見踐瞷
炒,chuavao,3\/.炒..
灿,cuayan,4\/.灿..
敞,chiuvang,3|\.敞.氅.
蜡,lioya,4|~.蜡..蠟
囚,qioriu,2|~.囚.虬蝤赇.虯蛷
栗,leiyi,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
辜,geiwu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
垫,deiyian,4-|.垫.坫.
妒,doayu,4~/.妒..
魁,kairui,2/|.魁..
谣,yuorao,2\~.谣..
寞,muyo,4\\.漠沫寞..
蜀,shiovu,3|~.署蜀暑曙..
甩,shaovuai,3/~.甩..
涯,yura,2\\.涯..
枕,zheiven,3-|.枕..
丐,geiyai,4-|.概.丐.蓋葢
泳,yuvong,3\\.涌泳..
奎,kearui,2-/.奎..
泌,buyi,4\\.泌.愎濞滗.
逾,yauru,2/\.余逾俞.觎.餘貗釪
叮,diowing,1|~.盯叮.町.虰
黛,daiyai,4/|.代袋贷.黛岱.貸
燥,zuayao,4\/.燥灶..
掷,zheiyi,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
藉,jeiri,2-|.极吉藉棘.楫蒺蕺.鞊趌
枢,sheiwu,1-|.枢梳蔬抒.菽摅.輸
憎,zuweng,1\\.憎..
鲸,jaowing,1/~.鲸.腈.鯨
弘,hoerong,2~-.弘..
倚,yaivi,3/|.倚..
侮,waivu,3/|.伍侮.仵.
藩,feiwan,1-|.藩.蕃.轓
拂,feiru,2-|.扶拂.芙苻茯菔莩桴.葍輻
鹤,huoye,4\~.鹤褐..隺鶴
蚀,shaori,2/~.蚀.鲥.
浆,juewiang,1\-.将浆..螀
芙,feiru,2-|.扶拂.芙苻茯菔莩桴.葍輻
垃,leiwa,1-|.拉垃..
烤,kuavao,3\/.烤..
晒,shioyai,4|~.晒..
霜,sheuwuang,1-\.霜..鸘
剿,chowao,1~~.剿..
蕴,yeiyun,4-|.蕴酝..醖醞
圾,jeiwi,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
绸,chorou,2~~.绸..絒
屿,yiovu,3|~.屿.圄圉.蝺
氢,qaewing,1/-.氢..
驼,toruo,2~~.驼..
妆,zhuewuang,1\-.装庄妆..
捆,keivun,3-|.捆..
铅,qaewian,1/-.千签迁铅钎..籤箞簽
逛,gaoyuang,4/~.逛..
淑,shuwu,1\\.淑..
榴,leiriu,2-|.榴..駵藰驑
丙,beiving,3-|.柄丙.邴.
痒,yuevang,3\-.痒..
钞,chaewao,1/-.钞..
蹄,tiori,2|~.题蹄啼..題鶗
犬,qeavuan,3-/.犬..
躬,gaiwong,1/|.供躬..
昼,zhoeyou,4~-.昼..
藻,zeivao,3-|.藻枣..
蛛,zhiowu,1|~.蛛..蠩
褐,huoye,4\~.鹤褐..隺鶴
颊,jeuria,2-\.颊.郏.
奠,duayian,4\/.奠..
募,meiyu,4-|.木幕墓慕募暮.苜.
耽,deiwan,1-|.担耽.聃.酖聸
蹈,diovao,3|~.蹈..
陋,loiyou,4~|.陋..
侣,lyaivu,3/|.侣..
魅,maiyei,4/|..魅.鬽
岚,lioran,2|~..岚.闌
侄,zhairi,2/|.值侄..
虐,nieyue,4|-.虐..
堕,doiyuo,4~|.堕..
陛,boiyi,4~|.陛..
莹,yeiring,2-|.营莹荧萤.萦楹茔蓥.藀
荫,yeiyin,4-|.荫.茚.酳
狡,jaoviao,3/~.角脚狡饺..腳
阀,fuira,2\|.阀..
绞,joviao,3~~.缴绞..繳絞
膏,guewao,1\-.高膏..
垮,keivua,3-|.垮..
茎,jeiwing,1-|.荆茎兢.菁.驚莖荊
缅,movian,3~~.缅..
喇,liova,3|~.喇..
绒,rorong,2~~.绒..絨
搅,jeiviao,3-|.搅.挢.
凳,douyeng,4~\.邓凳..鄧
梭,seiwuo,1-|.梭蓑.桫.髿
丫,yuawa,1\/.丫..
姬,joawi,1~/.姬..
诏,zhuoyao,4\~.肇.诏.
钮,naeviu,3/-.钮..
棺,geiwuan,1-|.棺.莞.觀蒄
耿,geiveng,3-|.耿梗埂..
缔,doyi,4~~.缔..締
懈,xuyie,4\\.泄懈泻.瀣渫.
嫉,joari,2~/.嫉..
灶,zuayao,4\/.燥灶..
匀,yaorun,2/~.匀..
嗣,sioyi,4|~.四嗣.兕.
鸽,gauwe,1/\.鸽..鴿
澡,zuvao,3\\.澡..
凿,zirao,2||.凿..鑿
纬,wovei,3~~.纬..緯
沸,fuyei,4\\.沸.怫.
畴,chiorou,2|~.畴踌.帱.
刃,roayen,4~/.刃妊..
遏,ioye,4|~.遏鄂.颚鹗.顎鶚
烁,shuayuo,4\/.烁朔.槊.
嗅,xioyiu,4|~.嗅.岫.螑
叭,biowa,1|~.叭.岜.
熬,erao,2--.熬敖.鳌遨螯獒聱.鰲鼇
瞥,puawie,1\/.瞥..
骸,hiorai,2|~.骸..還
奢,sheawe,1-/.奢..
拙,zheiwuo,1-|.捉拙..
栋,deiyong,4-|.栋.垌.
毯,taevan,3/-.毯.钽.
桐,teirong,2-|.桐酮.茼.
砂,sheawa,1-/.砂..
莽,meivang,3-|.莽..莾
泻,xuyie,4\\.泄懈泻.瀣渫.
坪,peiring,2-|.萍苹坪.枰.聠蓱
梳,sheiwu,1-|.枢梳蔬抒.菽摅.輸
杉,sheiwan,1-|.杉栅苫.芟埏.
晤,wioyu,4|~.晤..
稚,zhaeyi,4/-.制智秩稚.雉.製铚秲锧稙鴙
蔬,sheiwu,1-|.枢梳蔬抒.菽摅.輸
蝇,yioring,2|~.蝇..蝿蠅
捣,deivao,3-|.捣..
顷,qeoving,3-~.顷..頃
麽,muehe,5\-..麽.麼
尴,geawan,1-/..尴矸.
镖,baewiao,1/-..镖镳.
诧,chuoya,4\~.诧..
尬,geaya,4-/..尬.
硫,leariu,2-/.硫..
嚼,jiorue,2|~.嚼.崛蹶噱矍.躩
羡,xuayian,4\/.羡..粯
沦,lurun,2\\.沦..
沪,huyu,4\\.沪.怙.
旷,kioyuang,4|~.旷眶.贶.眖
彬,beiwin,1-|.彬.槟.
芽,yeira,2-|.芽..
狸,laori,2/~.狸.鲡.鯏鱺
冥,muoring,2\~..冥.鄍
碳,teayan,4-/.碳..
咧,liowie,1|~..咧.
惕,tuyi,4\\.惕涕.悌.
暑,shiovu,3|~.署蜀暑曙..
咯,lioho,5|~.咯..
萝,leiruo,2-|.萝.椤.騾蘿
汹,xuwiong,1\\.汹..
腥,xaowing,1/~.猩腥..
窥,kuwui,1\\.窥.悝.
俺,aivan,3/|.俺..
潭,turan,2\\.潭..
崎,qiori,2|~.崎畦.岐蛴蜞.跂蚑螧
麟,luerin,2\-..麟.麐
捡,jeivian,3-|.检捡拣柬茧.戬枧.鬋醎
拯,zheiveng,3-|.整拯..
厥,jearue,2-/..厥劂.蹷蟨
澄,chureng,2\\.澄..
萎,weiwei,1-|.萎.薇葳.葨
哉,zeiwai,1-|.栽哉..
涡,guwuo,1\\.涡..
滔,tuwao,1\\.涛滔..
暇,xioria,2|~.峡暇.黠.翈睱
溯,suyu,4\\.宿溯.愫涑.
鳞,laorin,2/~.鳞..鱗魿
酿,neiyiang,4-|.酿..釀
茵,yeiwin,1-|.茵.堙.駰蒑
愕,uye,4\\..愕.頞
瞅,chiovou,3|~.瞅..
暮,meiyu,4-|.木幕墓慕募暮.苜.
衙,yara,2//.衙..
诫,juoyie,4\~.诫..褯衸
斧,fauvu,3/\.斧釜..釡
兮,xauwi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
焕,huayuan,4\/.焕豢..
棕,zeiwong,1-|.棕鬃..鬉騣
佑,yaiyou,4/|.佑.鼬侑.
嘶,siowi,1|~.思嘶.咝蛳.
妓,joayi,4~/.妓..
喧,xiowuan,1|~.喧.暄.矎睻
蓉,reirong,2-|.荣融蓉茸.榕.駥
删,shaowan,1/~.删.膻.鯅
樱,yeiwing,1-|.英樱.莺撄.
伺,caiyi,4/|.伺..
嗡,wioweng,1|~.嗡..
娥,oare,2~/.娥..
梢,sheiwao,1-|.梢捎..
坝,beiya,4-|.坝..覇
蚕,ceran,2--.蚕..
敷,feiwu,1-|.敷..麩
澜,luran,2\\.澜..
杏,xeiying,4-|.幸杏.荇.莕
绥,sorui,2~~.绥..綏
冶,yueve,3\-.冶..
庇,bueyi,4\-.庇痹.庳.詖
挠,neirao,2-|.挠..
搂,leivou,3-|.搂..
倏,shaiwu,1/|..倏.
聂,neiyie,4-|.聂孽.颞蘖.菍糵顳苶聶
